field,Start.Date,End.Date,Herd,n,days,season,Pasture
1,2023-07-24T04:03:00Z,2023-07-29T18:06:00Z,Cows,46.229906,5.58541666666667,Dormant,1
1,2023-07-24T04:03:00Z,2023-07-29T18:06:00Z,k,15.318038,5.58541666666667,Dormant,1
1,2024-01-13T18:09:00Z,2024-01-14T06:09:00Z,Non-Breeding Cattle,29.635389,0.5,Dormant,1
1,2024-01-13T18:09:00Z,2024-01-14T06:09:00Z,k,6.6017206999999996,0.5,Dormant,1
1,2024-01-13T18:09:00Z,2024-01-14T06:09:00Z,Cows,46.373125,0.5,Dormant,1
10,2023-12-28T18:53:00Z,2023-12-29T23:54:00Z,Non-Breeding Cattle,29.425316,1.20902777777778,Dormant,10
10,2023-12-28T18:53:00Z,2023-12-29T23:54:00Z,Cows,46.05513,1.20902777777778,Dormant,10
10,2023-12-28T18:53:00Z,2023-12-29T23:54:00Z,k,6.494411,1.20902777777778,Dormant,10
11,2023-07-12T09:42:00Z,2023-07-12T17:00:00Z,k,15.060784,0.304166666666667,Dormant,11
11,2023-07-12T09:42:00Z,2023-07-12T17:00:00Z,Cows,45.825098,0.304166666666667,Dormant,11
11,2023-12-29T23:54:00Z,2023-12-31T23:55:00Z,Cows,46.097527,2.00069444444444,Dormant,11
11,2023-12-29T23:54:00Z,2023-12-31T23:55:00Z,Non-Breeding Cattle,29.453326,2.00069444444444,Dormant,11
11,2023-12-29T23:54:00Z,2023-12-31T23:55:00Z,k,6.508719,2.00069444444444,Dormant,11
12A,2023-07-10T21:40:00Z,2023-07-12T09:42:00Z,Cows,45.802703,1.50138888888889,Dormant,12A
12A,2023-07-10T21:40:00Z,2023-07-12T09:42:00Z,k,15.045651,1.50138888888889,Dormant,12A
12A,2023-12-21T23:12:00Z,2023-12-27T18:53:00Z,Non-Breeding Cattle,29.396508,5.82013888888889,Dormant,12A
12A,2023-12-21T23:12:00Z,2023-12-27T18:53:00Z,Cows,46.011309999999995,5.82013888888889,Dormant,12A
12A,2023-12-21T23:12:00Z,2023-12-27T18:53:00Z,k,6.480103,5.82013888888889,Dormant,12A
12A,2024-01-19T00:37:00Z,2024-01-19T19:39:00Z,k,6.644645000000001,0.793055555555556,Dormant,12A
12A,2024-01-19T00:37:00Z,2024-01-19T19:39:00Z,Non-Breeding Cattle,29.718617,0.793055555555556,Dormant,12A
12A,2024-01-19T00:37:00Z,2024-01-19T19:39:00Z,Cows,46.498906000000005,0.793055555555556,Dormant,12A
12B,2023-11-06T19:31:00Z,2023-11-08T19:33:00Z,k,6.129558,2.00138888888889,Dormant,12B
12B,2023-11-06T19:31:00Z,2023-11-08T19:33:00Z,Cows,45.689516000000005,2.00138888888889,Dormant,12B
14,2023-07-08T01:04:00Z,2023-07-08T21:35:00Z,Cows,45.729848,0.854861111111111,Dormant,14
14,2023-07-08T01:04:00Z,2023-07-08T21:35:00Z,k,15.000254,0.854861111111111,Dormant,14
14,2024-02-02T18:28:00Z,2024-02-04T18:31:00Z,k,6.7591084,2.00208333333333,Dormant,14
14,2024-02-02T18:28:00Z,2024-02-04T18:31:00Z,Non-Breeding Cattle,29.942693,2.00208333333333,Dormant,14
14,2024-02-02T18:28:00Z,2024-02-04T18:31:00Z,Cows,46.838105000000006,2.00208333333333,Dormant,14
15,2023-07-08T21:35:00Z,2023-07-09T09:36:00Z,k,15.000254,0.500694444444444,Dormant,15
15,2023-07-08T21:35:00Z,2023-07-09T09:36:00Z,Cows,45.731269999999995,0.500694444444444,Dormant,15
15,2024-02-13T04:09:00Z,2024-02-13T22:24:00Z,Non-Breeding Cattle,24.300537,0.760416666666667,Dormant,15
15,2024-02-13T04:09:00Z,2024-02-13T22:24:00Z,Cows,47.030324,0.760416666666667,Dormant,15
15,2024-02-13T04:09:00Z,2024-02-13T22:24:00Z,k,6.8234946,0.760416666666667,Dormant,15
16A,2023-12-18T23:09:00Z,2023-12-21T23:12:00Z,Cows,45.885527,3.00208333333333,Dormant,16A
16A,2023-12-18T23:09:00Z,2023-12-21T23:12:00Z,k,6.437179,3.00208333333333,Dormant,16A
16A,2023-12-18T23:09:00Z,2023-12-21T23:12:00Z,Non-Breeding Cattle,29.313277,3.00208333333333,Dormant,16A
16B,2023-07-01T09:00:00Z,2023-07-01T20:45:00Z,Wethers,5.761463,0.489583333333333,Dormant,16B
16B,2023-07-01T09:00:00Z,2023-07-01T20:45:00Z,Does,3.0398555000000003,0.489583333333333,Dormant,16B
16B,2023-07-05T16:04:00Z,2023-07-07T01:02:00Z,Cows,44.215168,1.37361111111111,Dormant,16B
16B,2023-07-05T16:04:00Z,2023-07-07T01:02:00Z,k,17.558726999999998,1.37361111111111,Dormant,16B
17,2024-02-04T18:31:00Z,2024-02-05T19:00:00Z,Non-Breeding Cattle,29.9567,1.02013888888889,Dormant,17
17,2024-02-04T18:31:00Z,2024-02-05T19:00:00Z,k,6.7662627,1.02013888888889,Dormant,17
17,2024-02-04T18:31:00Z,2024-02-05T19:00:00Z,Cows,46.859305,1.02013888888889,Dormant,17
18,2024-02-05T19:00:00Z,2024-02-06T06:30:00Z,Cows,46.860727,0.479166666666667,Dormant,18
18,2024-02-05T19:00:00Z,2024-02-06T06:30:00Z,Non-Breeding Cattle,29.9575,0.479166666666667,Dormant,18
18,2024-02-05T19:00:00Z,2024-02-06T06:30:00Z,k,6.7662627,0.479166666666667,Dormant,18
19,2024-02-06T06:30:00Z,2024-02-06T19:30:00Z,k,6.773416500000001,0.541666666666667,Dormant,19
19,2024-02-06T06:30:00Z,2024-02-06T19:30:00Z,Cows,46.880504,0.541666666666667,Dormant,19
19,2024-02-06T06:30:00Z,2024-02-06T19:30:00Z,Non-Breeding Cattle,29.970703,0.541666666666667,Dormant,19
19,2024-02-06T19:30:00Z,2024-02-08T21:00:00Z,Non-Breeding Cattle,29.998713,2.0625,Dormant,19
19,2024-02-06T19:30:00Z,2024-02-08T21:00:00Z,Cows,46.922906000000005,2.0625,Dormant,19
19,2024-02-06T19:30:00Z,2024-02-08T21:00:00Z,k,6.7877246,2.0625,Dormant,19
19,2024-02-08T21:00:00Z,2024-02-10T19:00:00Z,Cows,46.965305,1.91666666666667,Dormant,19
19,2024-02-08T21:00:00Z,2024-02-10T19:00:00Z,k,6.8020320000000005,1.91666666666667,Dormant,19
19,2024-02-08T21:00:00Z,2024-02-10T19:00:00Z,Non-Breeding Cattle,30.026723,1.91666666666667,Dormant,19
21,2023-11-05T19:31:00Z,2023-11-06T19:31:00Z,k,6.11525,1,Dormant,21
21,2023-11-05T19:31:00Z,2023-11-06T19:31:00Z,Cows,45.645112999999995,1,Dormant,21
22,2023-07-01T09:00:00Z,2023-07-05T16:04:00Z,Cows,55.606926,4.29444444444444,Dormant,22
22,2023-07-01T09:00:00Z,2023-07-05T16:04:00Z,k,22.079023,4.29444444444444,Dormant,22
22,2024-02-10T19:00:00Z,2024-02-11T05:00:00Z,k,6.8020320000000005,0.416666666666667,Dormant,22
22,2024-02-10T19:00:00Z,2024-02-11T05:00:00Z,Cows,46.966722999999995,0.416666666666667,Dormant,22
22,2024-02-10T19:00:00Z,2024-02-11T05:00:00Z,Non-Breeding Cattle,30.027523000000002,0.416666666666667,Dormant,22
23,2024-02-11T05:00:00Z,2024-02-11T18:15:00Z,k,6.8091865,0.552083333333333,Dormant,23
23,2024-02-11T05:00:00Z,2024-02-11T18:15:00Z,Cows,46.986504000000004,0.552083333333333,Dormant,23
23,2024-02-11T05:00:00Z,2024-02-11T18:15:00Z,Non-Breeding Cattle,30.040729,0.552083333333333,Dormant,23
24,2024-02-11T21:30:00Z,2024-02-12T19:00:00Z,Non-Breeding Cattle,30.054732,0.895833333333333,Dormant,24
24,2024-02-11T21:30:00Z,2024-02-12T19:00:00Z,k,6.8163403,0.895833333333333,Dormant,24
24,2024-02-11T21:30:00Z,2024-02-12T19:00:00Z,Cows,47.007703,0.895833333333333,Dormant,24
25,2023-11-04T17:29:00Z,2023-11-05T19:31:00Z,k,6.1080957,1.08472222222222,Dormant,25
25,2023-11-04T17:29:00Z,2023-11-05T19:31:00Z,Cows,45.622913999999994,1.08472222222222,Dormant,25
26,2023-10-29T01:14:00Z,2023-11-04T17:29:00Z,k,6.100942,6.67708333333333,Dormant,26
26,2023-10-29T01:14:00Z,2023-11-04T17:29:00Z,Cows,45.600714999999994,6.67708333333333,Dormant,26
27,2023-10-27T19:14:00Z,2023-10-29T01:14:00Z,Cows,45.446734,1.25,Dormant,27
27,2023-10-27T19:14:00Z,2023-10-29T01:14:00Z,k,6.0508643,1.25,Dormant,27
28,2023-10-26T16:38:00Z,2023-10-27T19:14:00Z,Cows,45.423117,1.10833333333333,Dormant,28
28,2023-10-26T16:38:00Z,2023-10-27T19:14:00Z,k,6.04371,1.10833333333333,Dormant,28
2A,2023-07-10T20:59:00Z,2023-07-17T21:03:00Z,Wethers,5.790995,7.00277777777778,Dormant,2A
2A,2023-07-10T20:59:00Z,2023-07-17T21:03:00Z,Does,3.0537349,7.00277777777778,Dormant,2A
2A,2024-01-14T06:09:00Z,2024-01-14T18:10:00Z,k,6.608875,0.500694444444444,Dormant,2A
2A,2024-01-14T06:09:00Z,2024-01-14T18:10:00Z,Cows,46.392906,0.500694444444444,Dormant,2A
2A,2024-01-14T06:09:00Z,2024-01-14T18:10:00Z,Non-Breeding Cattle,29.648594,0.500694444444444,Dormant,2A
2B,2023-07-29T18:06:00Z,2023-07-30T01:07:00Z,Cows,46.23133,0.292361111111111,Dormant,2B
2B,2023-07-29T18:06:00Z,2023-07-30T01:07:00Z,k,15.318038,0.292361111111111,Dormant,2B
2B,2023-07-30T01:07:00Z,2023-07-30T18:07:00Z,Cows,46.25372,0.708333333333333,Dormant,2B
2B,2023-07-30T01:07:00Z,2023-07-31T06:07:00Z,k,15.333171,1.20833333333333,Dormant,2B
2B,2023-07-30T18:07:00Z,2023-08-02T18:22:00Z,Cows,46.325156,3.01041666666667,Dormant,2B
2B,2023-07-31T06:07:00Z,2023-08-02T18:22:00Z,k,15.378568,2.51041666666667,Dormant,2B
2B,2024-01-12T00:06:00Z,2024-01-12T12:07:00Z,k,6.594567,0.500694444444444,Dormant,2B
2B,2024-01-12T00:06:00Z,2024-01-12T12:07:00Z,Cows,46.350508000000005,0.500694444444444,Dormant,2B
2B,2024-01-12T00:06:00Z,2024-01-12T12:07:00Z,Non-Breeding Cattle,29.620583999999997,0.500694444444444,Dormant,2B
3,2023-08-12T22:29:00Z,2023-08-15T04:50:00Z,Cows,46.612324,2.26458333333333,Dormant,3
3,2023-08-12T22:29:00Z,2023-08-15T04:50:00Z,k,15.560159,2.26458333333333,Dormant,3
30A,2023-10-06T18:06:00Z,2023-10-16T00:07:00Z,Cows,45.158137,9.25069444444444,Dormant,30A
30A,2023-10-06T18:06:00Z,2023-10-16T00:07:00Z,k,5.9578622999999995,9.25069444444444,Dormant,30A
30B,2023-10-16T00:07:00Z,2023-10-18T02:12:17Z,k,5.9721703999999995,2.08700653935196,Dormant,30B
30B,2023-10-16T00:07:00Z,2023-10-18T02:12:17Z,Cows,45.202535000000005,2.08700653935196,Dormant,30B
30B,2023-10-18T02:12:17Z,2023-10-23T16:35:00Z,k,6.015094,5.59910457175915,Dormant,30B
30B,2023-10-18T02:12:17Z,2023-10-23T16:35:00Z,Cows,45.334316,5.59910457175915,Dormant,30B
30B,2024-02-13T19:51:00Z,2024-02-15T10:00:00Z,Does,3.0767710000000004,1.58958333333333,Dormant,30B
30B,2024-02-13T19:51:00Z,2024-02-15T10:00:00Z,Wethers,5.1735054,1.58958333333333,Dormant,30B
30B,2024-02-13T19:51:00Z,2024-02-15T10:00:00Z,Kids,3,1.58958333333333,Dormant,30B
31,2023-10-23T16:35:00Z,2023-10-26T16:38:00Z,Cows,45.400914,3.00208333333333,Dormant,31
31,2023-10-23T16:35:00Z,2023-10-26T16:38:00Z,k,6.036555999999999,3.00208333333333,Dormant,31
32,2023-07-04T20:57:00Z,2023-07-10T20:59:00Z,Does,3.0476626000000002,6.00138888888889,Dormant,32
32,2023-07-04T20:58:00Z,2023-07-10T20:59:00Z,Wethers,5.7777993,6.00069444444444,Dormant,32
32,2023-08-18T20:20:00Z,2023-08-22T23:23:00Z,Cows,43.95934,4.12708333333333,Dormant,32
32,2023-08-18T20:20:00Z,2023-08-22T23:23:00Z,k,15.68122,4.12708333333333,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,k,6.4157173,5.12569444444444,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,Cows,45.82193,5.12569444444444,Dormant,32
32,2023-12-13T20:08:00Z,2023-12-18T23:09:00Z,Non-Breeding Cattle,29.271264,5.12569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,k,6.8234946,1.27569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,Cows,47.030324,1.27569444444444,Dormant,32
32,2024-02-14T03:23:00Z,2024-02-15T10:00:00Z,Non-Breeding Cattle,24.300537,1.27569444444444,Dormant,32
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,Non-Breeding Cattle,29.20044,3.00138888888889,Dormant,33
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,Cows,45.714510000000004,3.00138888888889,Dormant,33
33,2023-12-10T20:06:00Z,2023-12-13T20:08:00Z,k,6.3799472999999995,3.00138888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,Cows,47.030324,0.207638888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,Non-Breeding Cattle,24.300537,0.207638888888889,Dormant,33
33,2024-02-13T22:24:00Z,2024-02-14T03:23:00Z,k,6.8234946,0.207638888888889,Dormant,33
34,2023-07-01T20:45:00Z,2023-07-04T20:57:00Z,Does,3.0424578,3.00833333333333,Dormant,34
34,2023-07-01T20:45:00Z,2023-07-04T20:58:00Z,Wethers,5.766908,3.00902777777778,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,k,6.651799,0.972222222222222,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,Cows,46.520105,0.972222222222222,Dormant,34
34,2024-01-19T19:39:00Z,2024-01-20T18:59:00Z,Non-Breeding Cattle,29.732623,0.972222222222222,Dormant,34
35,2023-07-01T09:00:00Z,2023-07-03T22:09:00Z,Bulls,3.963661,2.54791666666667,Dormant,35
