Pasture,season,tgd,ADA
1,Dormant,6.086805555555556,32.8856532092865
1,Growing,5.8493055555555555,18.457994186189
1,Total,11.936111111111112,51.3436473954755
10,Dormant,1.2097222222222224,5.18183920129252
10,Growing,1.0013888888888889,1.75475090835751
10,Total,2.2111111111111112,6.93659010965004
11,Dormant,2.30625,13.6907026559936
11,Growing,1.0013888888888889,2.50555076097283
11,Total,3.3076388888888886,16.1962534169664
12A,Dormant,8.116666666666667,18.9916440364468
12A,Growing,0,0
12A,Total,8.116666666666667,18.9916440364468
12B,Dormant,2.002083333333333,4.58696443679768
12B,Growing,1.9395833333333332,2.93040098665833
12B,Total,3.9416666666666664,7.51736542345601
14,Dormant,2.858333333333333,10.9286618763862
14,Growing,0,0
14,Total,2.858333333333333,10.9286618763862
15,Dormant,1.2625,15.8604214849531
15,Growing,0,0
15,Total,1.2625,15.8604214849531
16A,Dormant,3.0027777777777778,19.7664481859699
16A,Growing,0,0
16A,Total,3.0027777777777778,19.7664481859699
16B,Dormant,1.8645833333333333,5.97871558387852
16B,Growing,5.34375,21.3304981556378
16B,Total,7.208333333333333,27.3092137395163
17,Dormant,1.0208333333333333,13.3519809639098
17,Growing,0.8854166666666666,4.83949618349429
17,Total,1.90625,18.1914771474041
18,Dormant,0.4798611111111111,4.55262606950286
18,Growing,2.229861111111111,8.80494015821815
18,Total,2.709722222222222,13.357566227721
19,Dormant,4.521527777777778,20.4626663373275
19,Growing,0.9798611111111111,1.81538669410199
19,Total,5.501388888888889,22.2780530314295
21,Dormant,1.0006944444444443,28.6720100795805
21,Growing,0,0
21,Total,1.0006944444444443,28.6720100795805
22,Dormant,4.7124999999999995,104.197279048828
22,Growing,0.5006944444444444,4.88451663794479
22,Total,5.213194444444444,109.081795686773
23,Dormant,0.5527777777777778,12.2123433832433
23,Growing,1.5006944444444443,13.6247928949159
23,Total,2.053472222222222,25.8371362781591
24,Dormant,0.8965277777777777,16.9943993034868
24,Growing,5.0465277777777775,24.4192419365818
24,Total,5.9430555555555555,41.4136412400686
25,Dormant,1.0854166666666667,3.2663064306871
25,Growing,1.8694444444444445,8.53839286924031
25,Total,2.954861111111111,11.8046992999274
26,Dormant,6.677777777777778,18.3566962702291
26,Growing,2.0395833333333333,8.52903792834159
26,Total,8.717361111111112,26.8857341985707
27,Dormant,1.2506944444444443,14.9455729960368
27,Growing,2.0027777777777778,5.80577459209394
27,Total,3.2534722222222223,20.7513475881307
28,Dormant,1.1090277777777777,6.74055091828508
28,Growing,9.067361111111111,21.4091957160374
28,Total,10.176388888888889,28.1497466343225
2A,Dormant,7.504861111111111,12.9010376079702
2A,Growing,0.9138888888888889,3.75207655720245
2A,Total,8.418750000000001,16.6531141651727
2B,Dormant,4.513194444444444,83.7063155557792
2B,Growing,3.586111111111111,52.2526373331519
2B,Total,8.099305555555555,135.958952888931
3,Dormant,2.265277777777778,23.2007455066783
3,Growing,3.2291666666666665,9.10211097085418
3,Total,5.4944444444444445,32.3028564775324
30A,Dormant,9.251388888888888,14.4413210168672
30A,Growing,1.9611111111111112,4.70265597111281
30A,Total,11.212499999999999,19.14397698798
30B,Dormant,9.277083333333334,30.3843034315582
30B,Growing,17.459027777777777,20.3129227333693
30B,Total,26.73611111111111,50.6972261649275
31,Dormant,3.0027777777777778,9.38461427133513
31,Growing,0.970138888888889,4.62691172167642
31,Total,3.972916666666667,14.0115259930115
32,Dormant,16.53263888888889,34.4195317304877
32,Growing,1.4076388888888889,2.06498545132122
32,Total,17.94027777777778,36.484517181809
33,Dormant,3.2104166666666667,22.8747574836336
33,Growing,1.1444444444444444,7.87039494923498
33,Total,4.354861111111111,30.7451524328686
34,Dormant,3.982638888888889,6.14739607194724
34,Growing,0,0
34,Total,3.982638888888889,6.14739607194724
35,Dormant,41.393055555555556,21.4738851467872
35,Growing,2.922916666666667,8.58075162358791
35,Total,44.31597222222222,30.0546367703751
36,Dormant,13.729166666666666,23.187248114563
36,Growing,1.0013888888888889,2.28431481220112
