Point,SampleYear,bulk.dens.gcm3,bulk.dens.sd,water.infil,water.infil.sd,carbonA,carbonB,depth,depth.sd,Olsen_P_(ppm)_A,pH_A,CEC_(Sum_of_Cations_me/100g)_A,Calcium_(cmol_(+)/kg)_A,Magnesium_(cmol_(+)/kg)_A,Potassium_(cmol_(+)/kg)_A,Sodium_(cmol_(+)/kg)_A,Total_Nitrogen_(%)_A,Olsen_P_(ppm)_B,pH_B,CEC_(Sum_of_Cations_me/100g)_B,Calcium_(cmol_(+)/kg)_B,Magnesium_(cmol_(+)/kg)_B,Potassium_(cmol_(+)/kg)_B,Sodium_(cmol_(+)/kg)_B,Total_Nitrogen_(%)_B,richA,richB
TOKA-001,2015,NA,NA,3.8833333333333333,4.036293679437445,2.6,1.6,37,0.7071067811865476,4.7,5.8,26,9.3,7.4,0.68,0.17,0.19,1,5.8,23,9,8.2,0.39,0.25,0.12,NA,NA
TOKA-001,2018,1.2470339480563897,0.10240470034076368,3.7622170769870884,3.1023831666884947,2.2,1.5,40,0,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
TOKA-006,2015,1.2913702481607285,0.04095012060494136,7.800000000000001,5.870749053097437,2.9,2,36.6,1.140175425099138,3.8,5.3,19,5.9,3.7,0.56,0.29,0.24,1,5.4,20,5.5,4.6,0.33,0.48,0.16,989.7,1068.3
TOKA-006,2018,1.2418349217157434,0.2424330335250265,31.23443283455999,50.57115623924676,3.1,2.2,40,0,10.3,5.6,19.6,4.29,3.8,0.577,0.28,0.28,3.8,5.8,18.9,4.34,4.5,0.385,0.44,0.21,NA,NA
TOKA-006,2021,1.1666451292135092,0.11803756060100039,13.880873274831748,11.003925155135583,3.1,2,38.6,2.1908902300206643,9,5.7,16.7,4.435,3.2,0.492,0.33,0.2569,6.3,5.6,21,5.43,4.5,0.313,0.51,0.1983,NA,NA
TOKA-006,2024,1.1839838698703502,0.216460761155856,71.3255997432463,28.57189621875827,2.6,1.7,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-007,2015,1.4721605817149146,0.09092620575693547,17.490000000000002,12.965320195728982,2,1.4,32.4,2.5099800796022267,3.2,5.5,16,4.4,4.3,0.62,0.47,0.15,1,5.1,22,5.1,7.2,0.59,0.76,0.13,1320.4,983.3
TOKA-007,2018,1.3523437999952599,0.1251022730143104,15.085711105438154,10.434686721825639,2.3,1.4,40,0,8.6,5.8,18.7,4.27,4.6,0.536,0.32,0.22,2.6,5.8,24.4,5.06,7.7,0.572,0.69,0.14,NA,NA
TOKA-007,2021,1.3464404747499275,0.07368044201391877,18.68058310049984,29.974648075089085,2.4,1.3,33.6,4.979959839195493,6.6,5.8,16.9,3.94,3.7,0.664,0.34,0.2036,12.8,5.6,21.4,4.79,6.7,0.513,0.67,0.1607,NA,NA
TOKA-007,2024,1.26668766816231,0.09049080857452113,100.1418683736637,33.31483141915903,2.1,1.1,38.4,3.5777087639996634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-013,2015,1.0926716388662536,0.08149088793373539,2.373333333333333,2.6903273241579937,NA,NA,36.6,0.5477225575051661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1159.5,914.5
TOKA-013,2018,1.0903877910724404,0.09018450816600079,2.7369825925567186,2.5533059779571547,4.1,2.8,40,0,6.8,6.1,30.4,11.6,8.5,0.821,0.31,NA,8.1,5.9,32.3,11.99,9.2,0.672,0.41,NA,NA,NA
TOKA-016,2015,1.0725141593361032,0.10243656644205527,0.55,0.39913100049426825,3.6,2.2,36.8,0.44721359549995793,4.5,5.6,43,13,12,1.1,0.47,0.29,3,5.7,42,13,13,0.66,0.61,0.21,1268.4,864
TOKA-016,2018,1.046657405581088,0.1406635996127782,7.903191494222322,6.18544431368233,2.8,1.4,40,0,7.3,5.8,37.4,10.04,16.1,1.205,0.43,0.29,5.8,5.5,43,10.8,19.6,0.869,0.64,0.19,NA,NA
TOKA-016,2021,0.9209531642828427,0.054544830886098086,8.073192856814485,15.456970042073237,2.9,1.6,40,0,6.3,5.7,30.1,8.51,11.8,0.762,0.44,0.2364,8.4,5.3,33.1,8.4,13.4,0.536,0.63,0.1763,NA,NA
TOKA-016,2024,1.0465268671169345,0.062422778349539736,25.13592883976963,35.90600059963826,2.9,1.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-018,2015,1.3802477167111071,0.03738384770370858,11.196666666666667,19.203574609373582,3.3,2.4,34.8,1.6431676725154984,2.8,5.9,34,11,9.1,0.77,0.58,0.25,1,5.8,32,9.8,8.7,0.54,0.73,0.21,919.5,1081.3
TOKA-018,2018,1.1624450232850572,0.1653767016453189,4.880455272589411,6.878089714561518,3.1,2.2,40,0,5.3,6.1,25.3,8.49,9.2,0.672,0.41,0.28,2.2,6.1,25.8,8.13,8.8,0.451,0.53,0.21,NA,NA
TOKA-018,2021,1.1329433303864134,0.17702250324305357,8.953079270377902,10.73776848924336,3.5,2.3,40,0,6.9,6.1,21.8,7.85,6.8,0.495,0.39,0.2559,4.8,5.8,24.5,8.335,7.8,0.413,0.53,0.2165,NA,NA
TOKA-018,2024,1.1048775605934558,0.07494232440567843,76.47570470193558,84.79981000819907,2.9,2.1,37.4,3.714835124201342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-020,2015,NA,NA,2.4266666666666667,1.6988803502437846,4.6,2,36.6,0.8944271909999159,9.6,5.7,45,19,10,1.1,0.22,0.35,4,5.7,40,18,11,0.6,0.21,0.18,NA,NA
TOKA-020,2018,1.0119341741163126,0.13245039448439933,3.779965419236581,6.152178797682277,3.9,2.6,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-022,2015,1.192468870040314,0.18528933735466144,4.62,3.071676162039945,3.1,2.1,33.8,3.63318042491699,11,5.9,44,15,12,0.82,0.56,0.29,2.2,5.2,41,13,12,0.58,0.62,0.19,1328.4,1105.8
TOKA-022,2018,1.0492349008313666,0.15908979283190736,8.3512233390073,11.793260568007927,3.6,2.1,40,0,42.7,6.6,28,14.24,12.2,1.159,0.38,0.35,11.3,5.9,33.9,12.05,12.3,0.674,0.6,0.23,NA,NA
TOKA-022,2021,1.0550151652910924,0.07865838444221925,4.509214177979424,1.956255255751234,3.7,2.4,40,0,13.4,6.2,26.1,11.915,8.2,0.631,0.36,0.3054,6.4,5.8,30.7,11.965,10.1,0.479,0.61,0.2328,NA,NA
TOKA-022,2024,1.0955572867864611,0.08603473436655111,29.605859934914932,20.21577068619812,3.8,2.3,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOKA-029,2015,1.0262893652626714,0.07963472782456733,0.9866666666666667,0.6919577700666101,3.7,2.7,31.4,5.727128425310541,3.5,5.3,33,11,8.8,1,0.86,0.29,2.5,5.2,33,9.5,8.8,0.77,0.65,0.22,1531.6,1082.5
TOKA-029,2018,1.129157714925968,0.04320359746793826,2.1634431135501497,1.2614201627968793,3.7,2.3,40,0,6.1,6,26.2,8.9,8.8,0.746,0.38,0.3,3.3,5.8,28.6,8.73,9.6,0.682,0.45,0.24,NA,NA
TOKA-030,2015,1.1571742309747985,0.08918186796686602,0.9366666666666666,0.6877297595874575,4.5,2.8,34.4,3.1304951684997055,8.3,5.5,33,9.2,6.3,1.1,0.31,0.32,3.5,5.6,36,8,6.4,0.85,0.42,0.24,1634.3,835.9
TOKA-030,2018,1.1567013308623124,0.11772858014819373,6.286067752644464,8.709368890043772,4.1,2.5,40,0,14.8,5.9,23.2,7.08,5.9,0.879,0.25,0.35,3.9,5.8,22.2,6.01,6.1,0.7,0.32,0.23,NA,NA
TOKA-034,2015,0.9080627252761888,0.029029990041220286,3.36,1.8622939856233465,5,2.9,37.2,2.16794833886788,34,5.5,47,18,10,0.92,0.51,NA,21,5.7,49,20,10,0.72,0.69,0.27,1219.2,903.9
TOKA-034,2018,1.0299779048048023,0.19830214102567148,70.49651418500831,132.2649300596136,4.9,2.9,40,0,42.4,6.2,34.9,15.11,10.4,0.995,0.42,NA,27.4,6.3,37.8,18.84,12.5,0.882,0.63,NA,NA,NA
TOKA-035,2015,NA,NA,0.8933333333333333,1.020933668538537,3.5,1.8,33.4,3.5777087639996634,11,6.3,46,23,10,1.1,0.22,0.28,4.4,5.9,38,22,10,0.49,0.31,0.16,NA,NA
