Date,DailyMaxTemp,DailyMinTemp,DailyRain
2010-09-22,60,53.9,0
2010-09-23,64.9,51.4,0
2010-09-24,75.2,52.7,0
2010-09-25,83.4,55.4,0
2010-09-26,69.6,48.3,0
2010-09-27,76.8,49.4,0
2010-09-28,78.9,56.4,0
2010-09-29,69.9,51.2,0
2010-09-30,63.3,50,0
2010-10-01,60.8,53.7,0
2010-10-02,62.2,52.1,0
2010-10-03,58.8,51.9,0
2010-10-04,56.4,51.2,0
2010-10-05,64.5,47.4,0
2010-10-06,63.5,52.5,0
2010-10-07,63.6,50,0
2010-10-08,63.8,51.2,0
2010-10-09,68.9,51.9,0
2010-10-10,64.4,51,0
2010-10-11,77,50.9,0
2010-10-12,81.6,58.4,0
2010-10-13,70.1,59.9,0.02
2010-10-14,76.2,52.8,0.01
2010-10-15,64.7,51.2,0
2010-10-16,58.6,47.3,0
2010-10-17,53,50.5,0.02
2010-10-18,59.1,48,0
2010-10-19,56.6,44.9,0
2010-10-20,56.6,45.8,0
2010-10-21,62.4,52.8,0
2010-10-22,58.2,51,0.01
2010-10-23,NA,NA,NA
2010-10-24,NA,NA,NA
2010-10-25,58.6,51,0
2010-10-26,57.3,48.9,0.04
2010-10-27,65.8,46.7,0
2010-10-28,67.8,58.2,0.01
2010-10-29,62.4,51.9,0.1
2010-10-30,59.7,49.8,0.05
2010-10-31,64.7,50.7,0.01
2010-11-01,68.7,52.1,0
2010-11-02,75.3,55,0
2010-11-03,74.3,56.4,0
2010-11-04,77.5,58.2,0
2010-11-05,60.8,50,0
2010-11-06,64.9,51.9,0
2010-11-07,56.3,52.1,0.31
2010-11-08,55,48.3,0
2010-11-09,56.1,45.8,0.01
2010-11-10,55.2,48.9,0.05
2010-11-11,64,50.9,0
2010-11-12,62.9,46.4,0
2010-11-13,69.8,54.3,0.01
2010-11-14,75.7,54.6,0
2010-11-15,75.5,56.1,0
2010-11-16,64.7,51.6,0
2010-11-17,60.2,42.2,0
2010-11-18,55.7,41.7,0
2010-11-19,51.6,44.7,0.19
2010-11-20,52.3,41.7,0.26
2010-11-21,51,41.3,0.21
2010-11-22,53.6,44.4,0.26
2010-11-23,51.6,42.6,0.17
2010-11-24,46.9,36.1,0
2010-11-25,52.3,38.4,0
2010-11-26,52.5,39.2,0
2010-11-27,50.7,44,0.09
2010-11-28,49.1,41.7,0
2010-11-29,54.5,39.5,0
2010-11-30,55.2,41.1,0
2010-12-01,55.5,43.3,0.01
2010-12-02,58.1,46.2,0
2010-12-03,58.2,48.2,0
2010-12-04,56.4,50,0.02
2010-12-05,60.4,50.5,1.3
2010-12-06,58.4,48,0
2010-12-07,58.2,46.7,0.01
2010-12-08,57.3,50.1,0.38
2010-12-09,57.5,53.6,0.02
2010-12-10,NA,NA,NA
2010-12-11,62.9,51.8,0
2010-12-12,62.2,53.2,0
2010-12-13,58.2,48.9,0
2010-12-14,56.3,49.4,0
2010-12-15,53.4,40.6,0
2010-12-16,53.2,37.7,0.01
2010-12-17,54.3,46.7,0.54
2010-12-18,55.7,51.8,0.24
2010-12-19,55.7,47.3,1.71
2010-12-20,50.7,47.1,0.03
2010-12-21,55,47.8,0.37
2010-12-22,53,48.7,0.33
2010-12-23,54.5,42,0.01
2010-12-24,56.1,44,0
2010-12-25,56.6,48,0.82
2010-12-26,55.9,48.3,0.02
2010-12-27,54.6,47.3,0
2010-12-28,52.1,47.1,2.65
2010-12-29,54.1,44.6,0.45
2010-12-30,47.8,42.2,0
2010-12-31,48.2,39,0.01
2011-01-01,51.2,46.7,0.15
2011-01-02,52.3,45.1,0.98
2011-01-03,52.7,42.2,0
2011-01-04,55,40.4,0
2011-01-05,56.4,40.2,0
2011-01-06,59.5,39.9,0
2011-01-07,50.3,39.3,0
2011-01-08,50,42,0
2011-01-09,48,38.3,0.01
2011-01-10,51.2,38.6,0
2011-01-11,55,43.1,0.13
2011-01-12,61.8,48.9,0
2011-01-13,57.2,50.7,0.03
2011-01-14,63.3,50.3,0.01
2011-01-15,70.1,47.8,0
2011-01-16,59.3,47.1,0
2011-01-17,60.8,47.6,0
2011-01-18,69.8,48.7,0
2011-01-19,60.4,49.6,0
2011-01-20,63.8,53.4,0
2011-01-21,67.2,48.3,0
2011-01-22,68.3,49.8,0
2011-01-23,66.3,57.7,0
2011-01-24,69.4,49.8,0
2011-01-25,70.8,49.2,0
2011-01-26,67.8,53.7,0
2011-01-27,65.8,47.8,0
2011-01-28,50.7,42.6,0
2011-01-29,53.9,46.5,0.02
2011-01-30,52.3,46.4,0.72
2011-01-31,51,42,0
2011-02-01,62,42.9,0.01
2011-02-02,60.4,47.4,0
2011-02-03,55,43.8,0
2011-02-04,61.8,44.6,0
2011-02-05,72.5,50.5,0
2011-02-06,74.4,53.2,0
2011-02-07,57.5,47.8,0
2011-02-08,53.9,47.6,0
2011-02-09,60.6,47.8,0
2011-02-10,61.7,48.2,0
2011-02-11,63.5,46.5,0
2011-02-12,63.8,45.6,0
2011-02-13,51.9,41.3,0
2011-02-14,55,47.8,0.15
2011-02-15,54.5,49.6,0.03
2011-02-16,51,45.8,0.35
2011-02-17,48,44.2,1.35
2011-02-18,45.8,37.9,0.94
2011-02-19,42.4,37.9,0.36
2011-02-20,50.3,39.3,0.02
2011-02-21,50.3,37.5,0
2011-02-22,51.9,39.3,0
2011-02-23,48.3,42.8,0
2011-02-24,50,42.9,0.36
2011-02-25,49.4,39.3,0.5
2011-02-26,44.6,33.4,0.02
2011-02-27,49.8,36.3,0
2011-02-28,53,38.4,0
2011-03-01,54.8,41.5,0.07
2011-03-02,51.9,48.3,0.11
2011-03-03,59,47.6,0
2011-03-04,60,45.8,0
2011-03-05,60.8,46.4,0
2011-03-06,54.8,50,0.05
2011-03-07,51,46.9,0
2011-03-08,55,49.2,0
2011-03-09,59.5,44.9,0
2011-03-10,57,44.4,0
2011-03-11,52.1,43.8,0
2011-03-12,54.6,44,0
2011-03-13,60.2,48.5,0.08
2011-03-14,57.9,52.7,0.01
2011-03-15,59.3,51.2,0.05
2011-03-16,53.2,47.6,0.01
2011-03-17,54.1,42.4,0
2011-03-18,51.6,43.5,0.94
2011-03-19,49.8,43.3,4.18
2011-03-20,51.8,43.7,0.2
2011-03-21,50.9,42.8,0.04
2011-03-22,54.1,43.8,0.05
2011-03-23,53.4,45.8,0.12
2011-03-24,50,45.6,0.78
2011-03-25,53.2,46,0.01
2011-03-26,52.5,43.5,0.46
2011-03-27,54.1,40.6,0
2011-03-28,52.5,46.5,0
2011-03-29,54.8,46.5,0
2011-03-30,71.6,49.2,0
2011-03-31,75.3,51,0
2011-04-01,71.7,51,0
2011-04-02,53,47.6,0
2011-04-03,56.4,44.4,0
2011-04-04,74.4,46.4,0
2011-04-05,54.5,45.8,0
2011-04-06,51,44.9,0
2011-04-07,47.6,42.4,0.07
2011-04-08,52.3,38.6,0
2011-04-09,51,39,0
2011-04-10,53.2,42.2,0.01
2011-04-11,56.6,46.5,0
2011-04-12,50.1,45.8,0
2011-04-13,52.3,43.7,0.11
2011-04-14,54.1,42.6,0
2011-04-15,59.1,46.5,0
2011-04-16,59.3,50.7,0
2011-04-17,57.3,50.3,0
2011-04-18,58.2,50.1,0
2011-04-19,58.1,48.5,0
2011-04-20,58.6,48.3,0
2011-04-21,52.8,45.8,0.02
2011-04-22,52.7,44.9,0
2011-04-23,57.9,44.9,0
2011-04-24,54.3,49.4,0
2011-04-25,56.1,49.1,0
2011-04-26,54.3,47.4,0
2011-04-27,53.9,46.2,0
2011-04-28,53.9,46.9,0
2011-04-29,53,42.9,0
2011-04-30,61.5,46,0
