Point,habitat
TOKA-034,grassland
TOKA-048,grassland
TOKA-052,grassland
TOKA-064,grassland
TOKA-066,grassland
TOKA-073,grassland
TOKA-081,grassland
TOKA-087,grassland
TOKA-092,grassland
TOKA-119,grassland
TOKA-128,grassland
TOKA-135,grassland
TOKA-138,grassland
TOKA-168,grassland
TOKA-173,grassland
TOKA-174,grassland
TOKA-025,grassland
TOKA-117,grassland
TOKA-019,grassland
TOKA-116,grassland
TOKA-013,grassland
TOKA-016,grassland
TOKA-018,grassland
TOKA-024,grassland
TOKA-109,grassland
TOKA-111,grassland
TOKA-112,grassland
TOKA-114,grassland
TOKA-115,grassland
TOKA-021,grassland
TOKA-022,grassland
TOKA-023,grassland
TOKA-122,grassland
TOKA-055,grassland
TOKA-153,grassland
TOKA-027,grassland
TOKA-028,grassland
TOKA-029,grassland
TOKA-030,grassland
TOKA-031,grassland
TOKA-032,grassland
TOKA-033,grassland
TOKA-036,grassland
TOKA-039,grassland
TOKA-040,grassland
TOKA-044,grassland
TOKA-046,grassland
TOKA-060,grassland
TOKA-061,grassland
TOKA-120,grassland
TOKA-123,grassland
TOKA-124,grassland
TOKA-126,grassland
TOKA-134,grassland
TOKA-136,grassland
TOKA-137,grassland
TOKA-077,grassland
TOKA-099,grassland
TOKA-169,grassland
TOKA-170,grassland
TOKA-129,grassland
TOKA-130,grassland
TOKA-041,grassland
TOKA-042,grassland
TOKA-053,grassland
TOKA-057,grassland
TOKA-067,grassland
TOKA-079,grassland
TOKA-080,grassland
TOKA-082,grassland
TOKA-131,grassland
TOKA-144,grassland
TOKA-151,grassland
TOKA-154,grassland
TOKA-155,grassland
TOKA-156,grassland
TOKA-068,grassland
TOKA-070,grassland
TOKA-142,grassland
TOKA-149,grassland
TOKA-065,grassland
TOKA-089,grassland
TOKA-090,grassland
TOKA-172,grassland
TOKA-127,grassland
TOKA-008,grassland
TOKA-103,grassland
TOKA-105,grassland
TOKA-011,grassland
TOKA-014,grassland
TOKA-015,grassland
TOKA-017,grassland
TOKA-110,grassland
TOKA-010,grassland
TOKA-007,grassland
TOKA-006,grassland
TOKA-009,grassland
TOKA-102,grassland
TOKA-106,grassland
TOKA-108,grassland
TOKA-047,grassland
TOKA-003,grassland
TOKA-101,grassland
TOKA-104,grassland
TOKA-107,grassland
TOKA-005,grassland
TOKA-118,grassland
HOCR-001,riparian
HOCR-002,riparian
HOCR-003,riparian
HOCR-004,riparian
HOCR-005,riparian
HOCR-006,riparian
HOCR-007,riparian
HOCR-008,riparian
HOCR-009,riparian
HOCR-010,riparian
HOCR-011,riparian
HOCR-012,riparian
