field,date.time,area,activity,herd,n,weight,season,date,time,hour
49,2017-11-20T17:03:32Z,Subdivision 1,Move In,Bulls,4,4583,growing,2017-11-20,17:03,17
49,2017-12-08T17:04:29Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2017-12-08,17:04,17
50,2017-12-08T17:04:29Z,Subdivision 1,Move In,Bulls,4,4583,growing,2017-12-08,17:04,17
50,2017-12-22T17:12:45Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2017-12-22,17:12,17
53,2018-01-02T13:34:00Z,Subdivision 3,Move In,Bulls,4,4583,growing,2018-01-02,13:34,13
53,2018-01-05T07:57:43Z,Subdivision 3,Move Out,Bulls,4,4583,growing,2018-01-05,07:57,07
53,2018-01-05T07:57:43Z,Subdivision 8,Move In,Bulls,4,4583,growing,2018-01-05,07:57,07
53,2018-01-08T08:58:42Z,Subdivision 10,Move In,Bulls,4,4583,growing,2018-01-08,08:58,08
53,2018-01-08T08:58:42Z,Subdivision 8,Move Out,Bulls,4,4583,growing,2018-01-08,08:58,08
53,2018-01-16T11:12:25Z,Subdivision 10,Move Out,Bulls,4,4583,growing,2018-01-16,11:12,11
23,2018-01-25T14:31:35Z,23,Move In,Bulls,4,4583,growing,2018-01-25,14:31,14
23,2018-02-21T16:25:52Z,23,Move Out,Bulls,4,4583,growing,2018-02-21,16:25,16
30B,2018-03-14T16:26:37Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-03-14,16:26,16
30A,2018-03-21T12:48:20Z,Subdivision 3,Move In,Bulls,4,4583,growing,2018-03-21,12:48,12
30B,2018-03-21T12:48:20Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-03-21,12:48,12
30A,2018-03-22T08:48:58Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-03-22,08:48,08
30A,2018-03-22T08:48:58Z,Subdivision 3,Move Out,Bulls,4,4583,growing,2018-03-22,08:48,08
30A,2018-03-23T06:49:23Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-03-23,06:49,06
30A,2018-03-23T06:49:23Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-03-23,06:49,06
25,2018-03-23T18:51:09Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-03-23,18:51,18
30A,2018-03-23T18:51:09Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-03-23,18:51,18
25,2018-03-24T08:51:38Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-03-24,08:51,08
25,2018-03-24T08:51:38Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-03-24,08:51,08
25,2018-03-25T14:52:28Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-03-25,14:52,14
29,2018-03-25T14:52:28Z,29,Move In,Bulls,4,4583,growing,2018-03-25,14:52,14
15,2018-03-26T08:53:36Z,15,Move In,Bulls,4,4583,growing,2018-03-26,08:53,08
29,2018-03-26T08:53:36Z,29,Move Out,Bulls,4,4583,growing,2018-03-26,08:53,08
11,2018-03-27T07:54:44Z,11,Move In,Bulls,4,4583,growing,2018-03-27,07:54,07
15,2018-03-27T07:54:44Z,15,Move Out,Bulls,4,4583,growing,2018-03-27,07:54,07
11,2018-03-29T09:22:11Z,11,Move Out,Bulls,4,4583,growing,2018-03-29,09:22,09
8,2018-03-29T09:22:11Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-03-29,09:22,09
8,2018-03-30T08:47:13Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-03-30,08:47,08
8,2018-03-30T08:47:13Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-03-30,08:47,08
10,2018-03-31T08:48:56Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-03-31,08:48,08
8,2018-03-31T08:48:56Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-03-31,08:48,08
10,2018-04-01T08:49:35Z,Subdivision 4,Move In,Bulls,4,4583,growing,2018-04-01,08:49,08
10,2018-04-02T08:49:35Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-04-01,08:49,08
10,2018-04-02T10:52:08Z,Subdivision 4,Move Out,Bulls,4,4583,growing,2018-04-01,10:52,10
2B,2018-04-04T08:07:53Z,Annie Pond Field,Move In,Bulls,4,4583,growing,2018-04-04,08:07,08
2B,2018-04-05T11:41:14Z,Annie's Pond Across Driveway,Move In,Bulls,4,4583,growing,2018-04-05,11:41,11
2B,2018-04-05T11:41:14Z,Annie Pond Field,Move Out,Bulls,4,4583,growing,2018-04-05,11:41,11
1,2018-04-05T17:41:00Z,Ralphs,Move In,Bulls,4,4583,growing,2018-04-05,17:41,17
2B,2018-04-05T17:41:00Z,Annie's Pond Across Driveway,Move Out,Bulls,4,4583,growing,2018-04-05,17:41,17
1,2018-04-06T16:45:18Z,Ralphs,Move Out,Bulls,4,4583,growing,2018-04-06,16:45,16
2A,2018-04-06T16:45:18Z,2a,Move In,Bulls,4,4583,growing,2018-04-06,16:45,16
2A,2018-04-08T09:47:48Z,2a,Move Out,Bulls,4,4583,growing,2018-04-08,09:47,09
3,2018-04-08T09:47:48Z,3,Move In,Bulls,4,4583,growing,2018-04-08,09:47,09
3,2018-04-09T17:19:51Z,3,Move Out,Bulls,4,4583,growing,2018-04-09,17:19,17
4,2018-04-09T17:19:51Z,4,Move In,Bulls,4,4583,growing,2018-04-09,17:19,17
4,2018-04-10T16:43:16Z,4,Move Out,Bulls,4,4583,growing,2018-04-10,16:43,16
1,2018-04-13T10:33:39Z,Between Ralphs and Pond,Move In,Bulls,4,4583,growing,2018-04-13,10:33,10
1,2018-04-14T11:59:17Z,Between Ralphs and Pond,Move Out,Bulls,4,4583,growing,2018-04-14,11:59,11
5,2018-04-14T11:59:17Z,Roadside 5,Move In,Bulls,4,4583,growing,2018-04-14,11:59,11
5,2018-04-15T10:39:23Z,Roadside 5,Move Out,Bulls,4,4583,growing,2018-04-15,10:39,10
7,2018-04-15T10:39:23Z,Subdivision 4,Move In,Bulls,4,4583,growing,2018-04-15,10:39,10
10,2018-04-16T07:49:25Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-04-16,07:49,07
7,2018-04-16T07:49:25Z,Subdivision 4,Move Out,Bulls,4,4583,growing,2018-04-16,07:49,07
10,2018-04-17T09:59:00Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-04-17,09:59,09
10,2018-04-17T09:59:00Z,Subdivision 3,Move In,Bulls,4,4583,growing,2018-04-17,09:59,09
10,2018-04-18T17:59:00Z,Subdivision 3,Move Out,Bulls,4,4583,growing,2018-04-18,17:59,17
5,2018-04-19T08:51:56Z,Subdivision 1,Move In,Bulls,4,4583,growing,2018-04-19,08:51,08
5,2018-04-20T08:57:54Z,Subdivision 1,Move Out,Bulls,4,4583,growing,2018-04-20,08:57,08
9,2018-04-20T08:57:54Z,9,Move In,Bulls,4,4583,growing,2018-04-20,08:57,08
12A,2018-04-23T07:02:54Z,Subdivision 2,Move In,Bulls,4,4583,growing,2018-04-23,07:02,07
9,2018-04-23T07:02:54Z,9,Move Out,Bulls,4,4583,growing,2018-04-23,07:02,07
12A,2018-04-24T07:30:03Z,Subdivision 2,Move Out,Bulls,4,4583,growing,2018-04-24,07:30,07
12B,2018-04-24T07:30:03Z,12b,Move In,Bulls,4,4583,growing,2018-04-24,07:30,07
12B,2018-04-26T12:31:58Z,12b,Move Out,Bulls,4,4583,growing,2018-04-26,12:31,12
23,2018-05-02T15:36:52Z,23,Move In,Bulls,4,4583,growing,2018-05-02,15:36,15
23,2018-06-19T13:45:00Z,23,Move Out,Bulls,4,4583,growing,2018-06-19,13:45,13
49,2018-10-09T11:10:00Z,Subdivision 1,Move In,Bulls,6,7783,dormant,2018-10-09,11:10,11
26,2017-11-15T11:09:16Z,26,Move In,Cows,37,52730,growing,2017-11-15,11:09,11
26,2017-11-18T08:09:56Z,26,Move Out,Cows,37,52730,growing,2017-11-18,08:09,08
28,2017-11-18T08:09:56Z,28,Move In,Cows,37,52730,growing,2017-11-18,08:09,08
28,2017-11-21T08:14:29Z,28,Move Out,Cows,37,52730,growing,2017-11-21,08:14,08
31,2017-11-21T14:21:02Z,31,Move In,Cows,37,52730,growing,2017-11-21,14:21,14
30B,2017-11-23T14:22:29Z,30b,Move In,Cows,37,52730,growing,2017-11-23,14:22,14
31,2017-11-23T14:22:29Z,31,Move Out,Cows,37,52730,growing,2017-11-23,14:22,14
30B,2017-11-28T14:30:34Z,30b,Move Out,Cows,37,52730,growing,2017-11-28,14:30,14
34,2017-11-28T14:30:34Z,Oak Hill Road Top,Move In,Cows,37,52730,growing,2017-11-28,14:30,14
34,2017-11-29T14:36:52Z,Oak Hill Road Top,Move Out,Cows,37,52730,growing,2017-11-29,14:36,14
35,2017-11-29T14:36:52Z,Oak Hill Draw,Move In,Cows,37,52730,growing,2017-11-29,14:36,14
