Point,S.ACE,S.obs,n
HOCR-001,53,40,20
HOCR-002,40,36,20
HOCR-003,37,32,20
HOCR-004,42,37,20
HOCR-005,46,41,20
HOCR-006,54,50,20
HOCR-007,49,44,20
HOCR-008,47,43,20
HOCR-009,41,39,20
HOCR-010,35,33,20
HOCR-011,51,45,20
HOCR-012,42,39,20
TOKA-001,32,27,6
TOKA-002,26,21,4
TOKA-003,45,42,8
TOKA-004,17,13,2
TOKA-005,32,26,8
TOKA-006,36,21,14
TOKA-007,34,29,8
TOKA-008,33,27,6
TOKA-009,25,23,4
TOKA-010,33,24,4
TOKA-011,28,27,6
TOKA-012,26,22,4
TOKA-013,43,33,11
TOKA-014,37,25,5
TOKA-015,31,23,11
TOKA-016,29,14,4
TOKA-017,30,27,8
TOKA-018,35,28,12
TOKA-019,30,18,4
TOKA-020,28,24,6
TOKA-021,19,15,8
TOKA-022,29,21,12
TOKA-023,23,19,10
TOKA-024,26,23,7
TOKA-025,18,14,8
TOKA-026,20,17,4
TOKA-027,37,33,8
TOKA-028,37,29,6
TOKA-029,29,23,10
TOKA-030,32,26,14
TOKA-031,17,17,10
TOKA-032,26,20,8
TOKA-033,19,11,2
TOKA-034,38,35,10
TOKA-035,34,27,6
TOKA-036,38,35,9
TOKA-037,26,24,4
TOKA-038,20,17,4
TOKA-039,37,25,8
TOKA-040,27,21,4
TOKA-041,23,22,12
TOKA-042,44,39,10
TOKA-043,40,33,6
TOKA-044,44,26,7
TOKA-045,32,22,6
TOKA-046,34,30,7
TOKA-047,36,25,5
TOKA-048,23,17,4
TOKA-049,25,21,4
TOKA-050,34,28,4
TOKA-051,22,18,2
TOKA-052,30,24,4
TOKA-053,30,25,8
TOKA-054,22,20,6
TOKA-055,31,26,9
TOKA-056,23,16,4
TOKA-057,32,25,14
TOKA-058,25,22,6
TOKA-059,19,18,4
TOKA-060,32,27,12
TOKA-061,28,25,14
TOKA-062,16,13,2
TOKA-063,24,18,4
TOKA-064,35,29,6
TOKA-065,22,18,4
TOKA-066,29,23,6
TOKA-067,23,20,8
TOKA-068,34,23,10
TOKA-069,34,26,4
TOKA-070,34,24,10
TOKA-071,25,21,4
TOKA-072,17,15,4
TOKA-073,28,21,4
TOKA-074,22,15,6
TOKA-075,32,25,4
TOKA-076,19,16,4
TOKA-077,31,24,8
TOKA-078,33,24,6
TOKA-079,45,29,9
TOKA-080,48,36,10
TOKA-081,44,31,4
TOKA-082,36,30,12
TOKA-083,29,21,4
TOKA-084,36,19,6
TOKA-085,29,25,4
TOKA-086,35,29,6
TOKA-087,21,12,3
TOKA-088,18,17,6
TOKA-089,24,21,8
TOKA-090,20,18,8
TOKA-091,20,16,4
TOKA-092,21,16,2
TOKA-093,18,15,2
TOKA-094,26,22,4
TOKA-095,28,22,6
TOKA-096,24,19,6
TOKA-097,31,22,6
TOKA-098,32,23,5
TOKA-099,31,27,11
TOKA-100,31,28,7
TOKA-101,37,24,4
TOKA-102,34,30,6
TOKA-103,41,36,9
TOKA-104,27,22,4
TOKA-105,16,11,2
TOKA-106,20,11,4
TOKA-107,11,9,2
TOKA-108,20,13,4
TOKA-109,22,20,6
TOKA-110,23,15,4
TOKA-111,22,17,8
TOKA-112,38,23,3
TOKA-113,15,11,2
TOKA-114,25,19,6
TOKA-115,26,22,8
TOKA-116,17,15,4
TOKA-117,45,8,2
TOKA-119,23,20,8
TOKA-120,30,19,4
TOKA-121,18,14,2
TOKA-122,12,9,2
TOKA-123,49,13,2
TOKA-124,30,23,6
TOKA-125,20,16,2
TOKA-126,37,23,8
TOKA-127,38,27,4
TOKA-129,34,28,12
TOKA-130,23,16,2
TOKA-131,37,31,4
TOKA-132,21,14,2
TOKA-133,29,19,4
TOKA-134,14,9,2
TOKA-135,23,19,8
TOKA-136,38,24,8
TOKA-137,22,19,6
TOKA-138,32,21,6
TOKA-139,22,17,2
TOKA-140,8,7,2
TOKA-141,30,13,2
TOKA-142,22,13,2
TOKA-143,20,18,4
TOKA-144,27,21,8
TOKA-145,15,12,2
TOKA-146,18,15,4
TOKA-147,7,5,2
TOKA-148,22,15,4
TOKA-149,32,18,4
TOKA-150,33,10,2
TOKA-151,15,9,2
TOKA-152,27,15,2
TOKA-153,28,17,4
TOKA-154,28,26,10
TOKA-155,39,23,8
TOKA-156,16,13,4
TOKA-158,33,17,4
TOKA-159,31,16,2
TOKA-161,24,17,4
TOKA-162,21,15,2
TOKA-163,24,14,2
TOKA-164,36,18,4
TOKA-165,23,12,2
TOKA-166,14,11,2
TOKA-167,14,13,2
TOKA-168,16,13,4
TOKA-169,25,21,8
TOKA-170,45,23,12
TOKA-172,30,27,8
TOKA-173,11,10,2
TOKA-174,25,15,4
TOKA-176,30,14,2
TOKA-178,30,10,1
