pasture,year,group,species
1,2012,natgdiv,1
1,2013,natgdiv,4
1,2014,natgdiv,2
1,2017,natgdiv,3
1,2018,natgdiv,2
3,2012,natgdiv,1
3,2013,natgdiv,2
3,2014,natgdiv,2
3,2016,natgdiv,2
3,2017,natgdiv,2
3,2018,natgdiv,3
4,2012,natgdiv,1
4,2013,natgdiv,2
4,2014,natgdiv,2
4,2016,natgdiv,1
4,2017,natgdiv,1
4,2018,natgdiv,2
5,2012,natgdiv,3
5,2013,natgdiv,2
5,2014,natgdiv,5
5,2016,natgdiv,4
5,2017,natgdiv,2
5,2018,natgdiv,1
7,2012,natgdiv,3
7,2013,natgdiv,3
7,2014,natgdiv,2
7,2016,natgdiv,3
7,2017,natgdiv,4
7,2018,natgdiv,3
8,2012,natgdiv,1
8,2013,natgdiv,5
8,2014,natgdiv,4
8,2016,natgdiv,2
8,2017,natgdiv,4
8,2018,natgdiv,5
9,2012,natgdiv,1
9,2013,natgdiv,3
9,2014,natgdiv,4
9,2016,natgdiv,2
9,2017,natgdiv,2
9,2018,natgdiv,2
10,2012,natgdiv,2
10,2013,natgdiv,3
10,2014,natgdiv,3
10,2016,natgdiv,2
10,2017,natgdiv,3
10,2018,natgdiv,3
11,2012,natgdiv,2
11,2013,natgdiv,2
11,2014,natgdiv,3
11,2016,natgdiv,3
11,2017,natgdiv,3
11,2018,natgdiv,3
14,2012,natgdiv,1
14,2013,natgdiv,4
14,2014,natgdiv,3
14,2016,natgdiv,3
14,2017,natgdiv,4
14,2018,natgdiv,4
15,2012,natgdiv,0
15,2013,natgdiv,3
15,2014,natgdiv,1
15,2016,natgdiv,2
15,2017,natgdiv,1
15,2018,natgdiv,1
17,2012,natgdiv,0
17,2013,natgdiv,4
17,2014,natgdiv,2
17,2016,natgdiv,3
17,2017,natgdiv,2
17,2018,natgdiv,2
18,2012,natgdiv,0
18,2013,natgdiv,3
18,2014,natgdiv,3
18,2016,natgdiv,3
18,2017,natgdiv,2
18,2018,natgdiv,2
19,2012,natgdiv,0
19,2013,natgdiv,1
19,2014,natgdiv,4
19,2016,natgdiv,1
19,2017,natgdiv,1
