month,PRCP,TMAX,TMIN
1,6.550629225,58.2948064516129,44.00316129032258
2,6.238699515,58.36271428571428,47.09292857142857
3,5.02389592,57.941709677419354,45.05145161290323
4,1.934684105,57.41,45.58533333333333
5,0.931810895,58.04554838709677,47.70761290322581
6,0.253228305,61.982,49.39533333333334
7,0.15094485000000002,62.63954838709676,50.22012903225806
8,0.155984185,64.49667741935482,50.85774193548387
9,0.42110219,67.44936781609195,51.699
10,1.50858259,65.37774193548387,51.08393548387097
11,4.26228251,61.43533333333333,48.42133333333334
12,5.51771641,57.20137931034483,45.05974193548387
