date,temp.max,temp.min,rain.in
2010-09-08,NA,NA,NA
2010-09-09,59.5,52.3,NA
2010-09-10,65.6,46,NA
2010-09-11,67.2,48.7,NA
2010-09-12,57.7,50.1,NA
2010-09-13,59.5,49.6,NA
2010-09-14,60.4,48.9,NA
2010-09-15,61.5,48.7,NA
2010-09-16,68,53.7,NA
2010-09-17,66,58.6,NA
2010-09-18,65.4,59.1,NA
2010-09-19,66.9,55.9,NA
2010-09-20,NA,NA,NA
2010-09-21,NA,NA,NA
2010-09-22,60,53.9,0.03
2010-09-23,64.9,51.4,0
2010-09-24,75.2,52.7,0
2010-09-25,83.4,58.8,0
2010-09-26,73,48.3,0
2010-09-27,74.6,49.4,0
2010-09-28,78.9,56.4,0
2010-09-29,76.4,56.1,0
2010-09-30,63.3,50,0
2010-10-01,60.8,54.6,0
2010-10-02,62.2,52.3,0
2010-10-03,58.8,51.9,0
2010-10-04,58.8,53,0
2010-10-05,64.5,47.4,0
2010-10-06,63.5,52.5,0
2010-10-07,63.6,50,0
2010-10-08,63.8,51.2,0
2010-10-09,68.9,51.9,0
2010-10-10,64.4,51,0
2010-10-11,77,50.9,0
2010-10-12,81.6,59.5,0
2010-10-13,72.5,58.4,0.02
2010-10-14,76.2,58.6,0.02
2010-10-15,64.7,52.7,0.01
2010-10-16,58.6,47.3,0
2010-10-17,53,50.5,0.02
2010-10-18,58.8,49.4,0.02
2010-10-19,59.1,44.9,0
2010-10-20,56.6,45.8,0
2010-10-21,62.4,51.9,0
2010-10-22,58.4,52.1,0.01
2010-10-23,59.9,49.8,0.02
2010-10-24,NA,NA,NA
2010-10-25,59.3,51,0.04
2010-10-26,57.3,50.9,0.03
2010-10-27,65.8,46.7,0.04
2010-10-28,67.8,55.4,0
2010-10-29,62.4,56.4,0.01
2010-10-30,60.2,49.8,0.1
2010-10-31,64.7,50.7,0.05
2010-11-01,68.7,52.1,0.01
2010-11-02,75.3,55,0
2010-11-03,74.3,55.7,0
2010-11-04,77.5,58.2,0
2010-11-05,74.1,50,0
2010-11-06,64.9,51.9,0
2010-11-07,59.1,52.5,0.29
2010-11-08,55.5,50.5,0.31
2010-11-09,56.1,45.8,0
2010-11-10,55.2,50.1,0.05
2010-11-11,62.9,48.9,0.05
2010-11-12,64,46.4,0
2010-11-13,69.8,50.5,0
2010-11-14,75.7,54.3,0.01
2010-11-15,75.5,59,0
2010-11-16,68.5,54.6,0
2010-11-17,60.2,50,0
2010-11-18,56.8,41.7,0
2010-11-19,52.8,47.1,0
2010-11-20,52.3,41.7,0.26
2010-11-21,52.3,41.3,0.2
2010-11-22,53.6,44.4,0.26
2010-11-23,53.6,47.4,0.26
2010-11-24,47.1,36.1,0.17
2010-11-25,51.8,38.4,0
2010-11-26,52.5,39.2,0
2010-11-27,51,42.2,0.05
2010-11-28,49.1,44.9,0.09
2010-11-29,54.5,39.5,0
2010-11-30,55.2,41.1,0
2010-12-01,55,43.3,0
2010-12-02,58.1,46.2,0.01
2010-12-03,58.2,50,0
2010-12-04,56.4,48.2,0.02
2010-12-05,60.4,50,0.06
2010-12-06,58.4,50.5,1.3
2010-12-07,58.2,46.7,0
2010-12-08,57.3,50.1,0.06
2010-12-09,57.2,53.6,0.38
2010-12-10,NA,NA,NA
2010-12-11,59.1,51.8,0
2010-12-12,62.9,51.9,0
2010-12-13,61.7,48.9,0
2010-12-14,57.7,52.8,0
2010-12-15,55,45.6,0
2010-12-16,53.2,37.7,0
2010-12-17,54.3,46.4,0.01
2010-12-18,55.7,50.7,0.54
2010-12-19,55.7,51.2,1.66
2010-12-20,52.7,47.3,1.71
2010-12-21,55,47.1,0.03
2010-12-22,54.6,49.8,0.37
2010-12-23,53.9,42,0.33
2010-12-24,56.1,44,0.01
2010-12-25,56.6,48,0.36
2010-12-26,55.9,48.3,0.82
2010-12-27,54.8,47.3,0.02
2010-12-28,52.1,47.1,0.03
2010-12-29,54.1,46.9,2.65
2010-12-30,47.8,42.2,0.45
2010-12-31,48.2,39,0
2011-01-01,51.2,45.1,0.14
2011-01-02,52.3,47.4,0.9
2011-01-03,52.7,42.2,0.98
2011-01-04,55,40.4,0
2011-01-05,56.4,40.2,0
2011-01-06,59.5,39.9,0
2011-01-07,56.3,39.3,0
2011-01-08,50,42,0
2011-01-09,48,38.3,0.01
2011-01-10,51.2,38.6,0.01
2011-01-11,55,42.2,0.13
2011-01-12,61.8,49.6,0.13
2011-01-13,57.2,48.9,0.03
2011-01-14,63.3,50.3,0.03
2011-01-15,70.1,50.7,0.01
2011-01-16,60.2,47.1,0
2011-01-17,60.8,48.3,0
2011-01-18,69.8,47.6,0
2011-01-19,66.9,49.6,0
2011-01-20,63.8,50,0
2011-01-21,67.2,48.3,0
2011-01-22,68.3,49.8,0
2011-01-23,67.4,55.2,0
2011-01-24,69.4,50.3,0
2011-01-25,70.8,49.2,0
2011-01-26,68.5,53.7,0
2011-01-27,67.6,50.9,0
2011-01-28,65.1,42.6,0
2011-01-29,53.9,46.5,0
2011-01-30,52.3,48.7,0.72
2011-01-31,52.3,42,0.72
2011-02-01,62,42.9,0.01
2011-02-02,60.4,50.3,0.01
2011-02-03,56.4,43.8,0
2011-02-04,60.8,44.6,0
2011-02-05,72.5,48.7,0
2011-02-06,73.9,51.9,0
2011-02-07,74.4,48.2,0
2011-02-08,53.9,47.6,0
2011-02-09,60.6,47.6,0
2011-02-10,61.7,48.2,0
2011-02-11,63.5,46.5,0
2011-02-12,63.8,48.9,0
2011-02-13,60.6,41.3,0
2011-02-14,55,44.9,0.14
2011-02-15,54.5,49.6,0.15
2011-02-16,53.9,47.1,0.35
2011-02-17,49.1,44.2,1.15
2011-02-18,47.3,41.9,1.35
2011-02-19,43.7,37.9,0.94
2011-02-20,50.3,39.3,0.36
2011-02-21,50.3,38.1,0.02
2011-02-22,51.9,37.5,0
2011-02-23,49.6,42.8,0
2011-02-24,50,42.9,0.03
2011-02-25,49.4,43.5,0.49
2011-02-26,44.6,33.4,0.5
2011-02-27,49.8,36.3,0.02
2011-02-28,53,38.4,0
2011-03-01,54.8,41.5,0
2011-03-02,51.6,48.3,0.11
2011-03-03,59,48.7,0.11
2011-03-04,60,45.8,0
2011-03-05,60.8,46.4,0
2011-03-06,57.9,51.2,0.05
2011-03-07,52.7,47.8,0
2011-03-08,55,46.9,0
2011-03-09,59.5,44.9,0
2011-03-10,57.7,44.4,0
2011-03-11,54.1,43.8,0
2011-03-12,54.6,44,0
2011-03-13,60.2,48.2,0
2011-03-14,57.9,53.7,0.08
2011-03-15,59.3,51.2,0.01
2011-03-16,55.2,50.7,0.05
2011-03-17,54.1,42.4,0.01
2011-03-18,51.9,43.7,0.78
2011-03-19,48.3,43.3,0.94
2011-03-20,51.8,44.9,4.18
2011-03-21,51,42.8,0.2
2011-03-22,54.1,43.3,0.04
2011-03-23,53.4,46.9,0.08
2011-03-24,50.9,45.6,0.77
2011-03-25,53.2,45.6,0.78
2011-03-26,52.5,47.1,0.46
2011-03-27,54.1,40.6,0.46
2011-03-28,52.5,46.5,0
2011-03-29,54.8,46.5,0
2011-03-30,69.8,49.2,0
2011-03-31,75.3,51,0
2011-04-01,71.7,53.4,0
2011-04-02,59.9,50.3,0
2011-04-03,56.4,44.4,0
2011-04-04,74.4,46.4,0
2011-04-05,60.6,47.4,0
2011-04-06,51,44.9,0
2011-04-07,50.1,42.4,0.07
2011-04-08,52.3,38.6,0.07
2011-04-09,51,39,0
2011-04-10,53.2,42.2,0
2011-04-11,56.6,46.7,0.01
2011-04-12,50.1,45.8,0
2011-04-13,52.3,43.7,0.11
2011-04-14,54.1,42.6,0.11
2011-04-15,59.1,46.5,0
2011-04-16,59.3,50.7,0
2011-04-17,57.3,50.3,0
2011-04-18,58.2,50.1,0
2011-04-19,58.1,51.2,0
2011-04-20,58.6,48.3,0
2011-04-21,53.4,45.8,0.02
2011-04-22,52.7,44.9,0.02
2011-04-23,57.9,44.9,0
2011-04-24,54.3,51,0
2011-04-25,56.1,49.1,0
2011-04-26,54.6,47.4,0
2011-04-27,53.9,46.2,0
2011-04-28,53.9,47.3,0
2011-04-29,53,42.9,0
2011-04-30,61.5,46.4,0
2011-05-01,67.6,44,0
2011-05-02,64.4,44.7,0
2011-05-03,57,47.3,0
2011-05-04,79.5,50,0
2011-05-05,70.3,50.3,0.01
2011-05-06,60.8,47.6,0.01
2011-05-07,53.9,47.8,0
2011-05-08,53.6,48.2,0
2011-05-09,53.4,46.5,0
2011-05-10,52.5,44.6,0
2011-05-11,53.9,47.4,0
2011-05-12,54.8,49.6,0
2011-05-13,53,45.6,0
2011-05-14,53.9,47.6,0
2011-05-15,53.4,42.6,0.42
2011-05-16,55.2,47.3,0.15
2011-05-17,53,47.8,0.37
2011-05-18,54.5,48.5,0.1
2011-05-19,55.2,49.2,0.01
2011-05-20,53.7,50,0
2011-05-21,54.8,50.1,0
2011-05-22,52.5,49.4,0
2011-05-23,53.4,49.4,0.01
2011-05-24,54.6,47.8,0.01
2011-05-25,56.4,44.4,0
2011-05-26,56.4,48.2,0
2011-05-27,57.9,50.1,0
2011-05-28,57.3,50.3,0
2011-05-29,53.7,47.4,0.09
2011-05-30,55.7,49.1,0
2011-05-31,54.6,50,0.13
2011-06-01,56.4,49.1,0.13
2011-06-02,57.5,46.7,0.02
2011-06-03,55.5,46.5,0
2011-06-04,57.5,51.8,1.74
2011-06-05,59.7,52.8,1.74
2011-06-06,58.8,51.8,0.03
2011-06-07,56.8,51.8,0
2011-06-08,57.3,51.9,0
2011-06-09,56.4,51,0
2011-06-10,54.6,50.3,0
2011-06-11,54.8,49.8,0
2011-06-12,55.2,49.4,0
2011-06-13,59,51.8,0
2011-06-14,61.8,48.9,0
2011-06-15,58.6,49.1,0
2011-06-16,56.4,48.3,0
2011-06-17,55,48.2,0
2011-06-18,60,49.8,0
2011-06-19,67.8,50.1,0
2011-06-20,68.7,51.6,0
2011-06-21,65.1,51.9,0
2011-06-22,61.3,49.6,0
2011-06-23,59.7,50.5,0
2011-06-24,57.3,48.7,0
2011-06-25,55.2,50.1,0
2011-06-26,57.9,51.2,0
2011-06-27,59.5,51.4,0
2011-06-28,60.2,49.1,0.85
2011-06-29,59.3,51.9,0.86
2011-06-30,60,50.3,0.01
2011-07-01,66.3,50.1,0.01
2011-07-02,62.2,49.6,0.01
2011-07-03,70.7,51,0
2011-07-04,61.3,52.7,0
2011-07-05,65.1,46,0
2011-07-06,62,48.3,0
2011-07-07,60.6,50.5,0
2011-07-08,58.8,48.3,0
2011-07-09,57.2,49.4,0
2011-07-10,57.5,50.9,0
2011-07-11,56.6,51.2,0
2011-07-12,58.6,51.4,0
2011-07-13,56.8,53.7,0
2011-07-14,56.1,51.9,0
2011-07-15,59.1,52.5,0.01
2011-07-16,64,52.8,0.02
2011-07-17,60.9,54.8,0.02
2011-07-18,66.9,52.5,0.01
2011-07-19,62,54.6,0.02
2011-07-20,66.9,51.8,0.02
2011-07-21,63.5,51.6,0.04
2011-07-22,61.8,51.6,0.03
2011-07-23,62.2,51.6,0.04
2011-07-24,62.9,53.9,0.01
2011-07-25,60,51.9,0.02
2011-07-26,60.6,53.6,0.03
2011-07-27,63.1,50.3,0.03
2011-07-28,65.3,50,0.03
2011-07-29,63.6,52.3,0.02
2011-07-30,62.7,55,0.02
2011-07-31,58.8,54.1,0.02
2011-08-01,62.9,53.6,0.02
2011-08-02,62.4,51,0.02
2011-08-03,60.8,51.2,0.02
2011-08-04,59.5,54.6,0.02
2011-08-05,59.7,53.6,0.01
2011-08-06,58.4,52.1,0.01
2011-08-07,55.9,53,0.01
2011-08-08,57.9,51.9,0
2011-08-09,61.1,50.5,0
2011-08-10,58.4,50.9,0
2011-08-11,58.6,52.1,0.01
2011-08-12,57.3,52.8,0.01
2011-08-13,62.9,49.1,0.01
2011-08-14,64.4,50,0.01
2011-08-15,63.8,51.9,0.01
2011-08-16,63.5,50.1,0
2011-08-17,59.5,51.6,0
2011-08-18,57.3,51.6,0
2011-08-19,60.8,53.2,0
2011-08-20,60.6,53,0.01
2011-08-21,60.2,53.7,0.01
2011-08-22,63.5,53.6,0
2011-08-23,65.6,50.7,0.01
2011-08-24,65.6,51.2,0.01
2011-08-25,61.5,56.3,0
2011-08-26,60.4,52.5,0
2011-08-27,62.9,50.3,0
2011-08-28,62.6,48.2,0
2011-08-29,61.7,51.4,0
2011-08-30,60.2,53.4,0
2011-08-31,63.6,51.9,0
2011-09-01,64,51,0.01
2011-09-02,64.9,51.8,0.01
2011-09-03,61.1,50.9,0.01
2011-09-04,60,51,0
2011-09-05,62.6,51.4,0
2011-09-06,65.8,48.2,0
2011-09-07,71,49.8,0.01
2011-09-08,62.9,48.3,0.02
2011-09-09,61.8,50.3,0
2011-09-10,67.8,50.3,0.03
2011-09-11,66.3,56.1,0.03
2011-09-12,63.8,55.2,0.01
2011-09-13,61.3,54.8,0.02
2011-09-14,58.4,53.2,0.02
2011-09-15,60.8,52.7,0.02
2011-09-16,59.3,53.4,0.02
2011-09-17,65.4,53,0.04
2011-09-18,66.5,51.9,0.04
2011-09-19,75,53,0.05
2011-09-20,76.8,55.7,0.02
2011-09-21,65.4,49.1,0.02
2011-09-22,62.4,49.8,0.04
2011-09-23,67.1,49.2,0.04
2011-09-24,62.4,53,0.04
2011-09-25,63.6,56.6,0.04
2011-09-26,66.5,49.4,0.04
2011-09-27,72.6,52.7,0.03
2011-09-28,79.8,61.1,0.03
2011-09-29,79.8,51.4,0.02
2011-09-30,66.3,57.7,0.01
2011-10-01,68.7,58.2,0.04
2011-10-02,64.9,53.7,0.04
2011-10-03,62.9,51.8,0.59
2011-10-04,61.7,54.8,0.71
2011-10-05,59.9,53,1.7
2011-10-06,57.7,51,1.7
2011-10-07,59.9,48.5,0.21
2011-10-08,58.6,49.1,0.02
2011-10-09,60.8,50.3,0.02
2011-10-10,61.8,54.6,0.03
2011-10-11,63.8,59.5,0.01
2011-10-12,73,57.5,0.02
2011-10-13,80.4,58.1,0.02
2011-10-14,79.7,65.6,0.03
2011-10-15,71.4,55.4,0.03
2011-10-16,66.5,60.6,0.01
2011-10-17,68.5,51.9,0.02
2011-10-18,64.4,52.5,0.02
2011-10-19,59.5,54.3,0
2011-10-20,57.5,52.8,0.03
2011-10-21,62.9,52.8,0.04
2011-10-22,82.5,53.7,0.02
2011-10-23,77.1,65.3,0.01
2011-10-24,71.2,49.2,0.01
2011-10-25,60.9,50.9,0.01
2011-10-26,63.1,46.9,0.04
2011-10-27,64.9,48.7,0.04
2011-10-28,67.4,53,0.02
2011-10-29,70.5,50.9,0.03
2011-10-30,63.3,51.9,0.02
2011-10-31,60.6,49.2,0.02
2011-11-01,71.2,48.5,0.03
2011-11-02,69.9,61.7,0.01
2011-11-03,66,47.6,0.04
2011-11-04,50.7,43.5,0.07
2011-11-05,53.2,47.3,0.04
