Pasture,Year,Trees,Shrubs,Forbs,Misc,Weeds,Grass,AnnualGr,PereGr,NativeGr,BareGround
1,2012,7,14,12,1,1,65,62,3,0,1
2a,2012,7,36,12,6,7,30,29,1,0,3
2b,2012,1,17,26,4,14,37,20,17,1,3
3,2012,1,14,20,1,9,47,45,2,0,10
4,2012,1,14,21,1,2,60,52,8,0,3
5,2012,4,14,28,7,1,44,34,10,10,3
6a,2012,0,14,11,14,1,51,48,3,3,10
6b,2012,0,26,13,4,1,48,39,9,7,10
7,2012,1,16,27,1,6,41,29,11,4,10
8,2012,3,14,31,3,6,41,34,7,1,3
9,2012,1,11,33,3,4,26,19,7,4,23
10,2012,1,26,34,1,6,22,19,3,1,10
11,2012,1,26,35,4,7,7,5,1,1,23
12a,2012,0,55,21,1,5,10,7,2,1,10
12b,2012,4,30,11,2,1,53,34,19,1,1
14,2012,2,29,35,1,2,29,25,3,1,3
15,2012,0,24,6,1,15,45,23,22,0,10
16a,2012,1,55,21,1,5,9,9,1,1,10
16b,2012,1,4,60,1,6,19,18,1,0,10
17,2012,2,27,40,1,2,20,18,1,1,10
18,2012,1,21,29,5,2,34,34,1,1,10
19,2012,1,4,44,11,5,27,27,0,0,10
20,2012,1,20,8,1,24,45,42,2,0,3
21,2012,1,14,16,7,18,42,36,6,0,3
22,2012,1,4,24,1,22,47,38,8,0,3
23,2012,0,4,16,4,2,73,62,10,0,3
24,2012,,,,,,,,,,
25,2012,2,27,11,1,3,54,49,5,1,3
26,2012,0,37,14,1,8,37,25,12,4,3
27,2012,1,36,14,3,5,40,26,14,1,3
28,2012,1,28,11,1,5,53,46,6,4,3
29,2012,0,14,12,1,17,54,51,3,0,3
30a,2012,3,24,21,1,8,35,33,1,1,10
30b,2012,2,25,6,1,21,43,24,19,1,3
31,2012,1,25,12,1,12,48,34,13,4,3
32,2012,2,32,16,1,5,36,33,3,1,10
33,2012,2,32,15,1,5,44,33,11,3,3
34,2012,1,26,18,2,10,41,33,7,3,3
35,2012,1,10,33,4,11,42,37,5,3,1
36,2012,1,37,20,1,5,37,31,6,3,1
37a,2012,4,17,16,3,10,48,42,6,3,3
37b,2012,0,1,33,5,5,57,43,14,1,1
38a,2012,1,2,3,14,17,62,49,12,0,3
38b,2012,0,1,7,51,8,12,12,0,0,23
39a,2012,0,17,9,13,15,44,41,3,0,3
39b,2012,2,24,11,5,14,45,36,9,1,1
40,2012,3,15,4,24,24,29,25,3,0,3
41,2012,4,46,6,1,10,31,30,1,0,3
42,2012,1,17,8,1,7,58,50,8,0,10
43,2012,0,18,9,1,29,44,25,19,0,1
44,2012,0,7,9,1,17,65,47,18,0,3
45,2012,1,5,14,1,24,54,51,2,0,3
46,2012,0,7,18,0,17,56,47,9,0,3
47,2012,0,2,16,1,16,56,48,8,1,10
48,2012,0,4,11,1,14,62,53,8,0,10
49,2012,1,18,18,1,8,53,39,14,3,3
50,2012,0,2,12,3,11,70,59,11,0,3
51,2012,0,5,6,4,27,56,53,3,1,3
52,2012,3,20,12,4,17,43,42,1,0,3
53,2012,0,2,19,4,5,71,71,0,0,1
55,2012,0,2,11,11,14,61,58,3,0,3
56,2012,1,12,12,1,29,37,36,1,0,10
57,2012,0,22,22,1,14,39,39,0,0,3
58a,2012,1,15,21,2,14,45,36,9,0,3
58b,2012,1,2,21,11,15,42,41,1,0,10
59,2012,1,15,12,7,34,32,26,6,0,1
60,2012,1,15,5,5,11,64,55,9,0,1
61,2012,4,36,21,1,3,27,26,1,0,10
62,2012,3,16,28,1,17,13,12,2,0,23
63,2012,0,11,18,0,6,56,50,6,0,10
64,2012,0,14,31,1,5,40,39,1,0,10
65,2012,6,5,5,10,24,50,49,1,0,1
66,2012,1,17,11,1,18,44,41,2,0,10
67,2012,0,4,21,1,13,59,43,16,0,3
68,2012,3,9,14,1,17,54,43,11,0,3
