Date,Time,Bat Volt Min Day (V),Dew Pt (°F),Latest Rain (In),Daily Rain (In),Pressure (inHg),RH (%),Temp (°F),Daily Max Temp (°F),Max Temp Time,Daily Min Temp (°F),Min Temp Time,Wind Dir (°),Wind Gust (mph),Wind Gst Dir (°),Wind Spd (mph)
12/5/2019,900,12.24,51.1,0,0,30.08,88,54.7,55.2,857,48.6,434,ESE | 102,13.1,E | 100,5.8
12/5/2019,800,12.24,49.9,0,0,30.08,89,53,54.5,51,48.6,434,ESE | 119,13.2,SE | 144,6.5
12/5/2019,700,12.24,49.1,0,0,30.06,90,51.9,54.5,51,48.6,434,E | 90,11.4,E | 89,5.1
12/5/2019,600,12.26,49.3,0,0,30.04,92,51.6,54.5,51,48.6,434,E | 88,9.2,E | 87,5.7
12/5/2019,500,12.28,48.7,0,0,30.02,96,49.7,54.5,51,48.6,434,E | 87,8.8,E | 90,5.8
12/5/2019,400,12.31,49.3,0,0,30.01,94,51,54.5,51,49.8,327,E | 85,7.5,NE | 51,4.7
12/5/2019,300,12.34,50.2,0,0,29.99,92,52.3,54.5,51,51.6,258,ENE | 69,9,ENE | 63,6.9
12/5/2019,200,12.35,51,0,0,30,91,53.6,54.5,51,52.6,147,ENE | 71,8.7,ENE | 69,5.7
12/5/2019,100,12.35,51.7,0,0,29.99,92,53.9,54.5,51,53.3,6,E | 84,8.1,E | 91,5.5
12/5/2019,0,12.24,51.6,0,0.28,29.99,92,53.9,62.4,1304,51.4,234,E | 82,8,ENE | 63,4.6
12/4/2019,2300,12.24,51.6,0,0.28,29.97,88,55.1,62.4,1304,51.4,234,ESE | 108,10.1,ESE | 104,4.3
12/4/2019,2200,12.24,53.4,0,0.28,29.96,93,55.4,62.4,1304,51.4,234,SE | 137,16.8,SE | 134,7.4
12/4/2019,2100,12.24,54.4,0.02,0.28,29.95,96,55.4,62.4,1304,51.4,234,SSE | 159,15.6,SSE | 153,8.4
12/4/2019,2000,12.24,54,0,0.26,29.93,96,55.2,62.4,1304,51.4,234,SE | 134,11.3,S | 175,4.6
12/4/2019,1900,12.24,53.4,0,0.26,29.91,95,54.9,62.4,1304,51.4,234,E | 83,8.2,E | 87,3.7
12/4/2019,1800,12.24,53.4,0,0.26,29.89,91,56,62.4,1304,51.4,234,ESE | 110,6.9,E | 90,4.2
12/4/2019,1700,12.24,53.8,0,0.26,29.87,86,57.9,62.4,1304,51.4,234,ENE | 71,7.6,NE | 53,2.8
12/4/2019,1600,12.24,52.9,0,0.26,29.85,79,59.3,62.4,1304,51.4,234,S | 181,6.9,S | 175,3
12/4/2019,1500,12.24,52.2,0,0.26,29.83,73,60.8,62.4,1304,51.4,234,SSE | 167,9.8,SSE | 154,5.7
12/4/2019,1400,12.24,53.2,0,0.26,29.83,74,61.6,62.4,1304,51.4,234,S | 185,11.6,SSW | 194,5.8
12/4/2019,1300,12.24,55.8,0,0.26,29.83,87,59.7,62.3,1300,51.4,234,SW | 228,7,WSW | 238,3
12/4/2019,1200,12.24,55.8,0,0.26,29.84,92,58.1,59.3,1200,51.4,234,SSE | 168,6.4,SSE | 158,2.8
12/4/2019,1100,12.24,54.4,0,0.26,29.85,98,54.9,56.3,1052,51.4,234,NE | 49,5.4,NNE | 32,1.6
12/4/2019,1000,12.24,52.8,0,0.26,29.86,98,53.3,54.4,3,51.4,234,ENE | 78,3,SE | 138,1.2
12/4/2019,900,12.24,52,0,0.26,29.85,98,52.6,54.4,3,51.4,234,SSE | 158,4.5,E | 88,1.4
12/4/2019,800,12.24,51.6,0,0.26,29.83,98,52.2,54.4,3,51.4,234,E | 98,7.8,NE | 49,2.3
12/4/2019,700,12.24,51.2,0,0.26,29.82,97,52.1,54.4,3,51.4,234,NNE | 28,5.5,NNW | 347,2.3
12/4/2019,600,12.24,51.3,0,0.26,29.83,96,52.5,54.4,3,51.4,234,E | 99,3.9,E | 84,1.4
12/4/2019,500,12.25,51.6,0,0.26,29.83,96,52.7,54.4,3,51.4,234,ENE | 73,9.6,NE | 46,3.6
12/4/2019,400,12.25,51.2,0.02,0.26,29.84,97,51.9,54.4,3,51.4,234,ENE | 64,7.6,E | 84,4.4
12/4/2019,300,12.29,50.5,0.07,0.24,29.86,96,51.5,54.4,3,51.4,234,NNW | 345,5,NNE | 17,2.3
12/4/2019,200,12.34,50.3,0.14,0.17,29.89,94,51.9,54.4,3,51.6,142,NW | 315,9.6,N | 0,2.6
12/4/2019,100,12.36,50.3,0.03,0.03,29.88,89,53.4,54.4,3,52.5,100,SE | 129,6.6,E | 79,1.8
12/4/2019,0,12.25,49.6,0,0.01,29.9,81,55.4,62.1,1104,49,725,ESE | 111,11.1,S | 174,2.8
12/3/2019,2300,12.25,50.6,0,0.01,29.94,84,55.5,62.1,1104,49,725,ESE | 113,10.9,SSE | 162,6
12/3/2019,2200,12.25,51.5,0,0.01,29.92,87,55.2,62.1,1104,49,725,E | 88,13.3,E | 83,8.1
12/3/2019,2100,12.25,51.6,0,0.01,29.91,85,56.1,62.1,1104,49,725,ENE | 75,13.8,E | 84,10.6
12/3/2019,2000,12.25,53,0,0.01,29.91,91,55.6,62.1,1104,49,725,ENE | 68,13.6,ENE | 59,11.1
12/3/2019,1900,12.25,53.5,0,0.01,29.93,95,54.9,62.1,1104,49,725,NE | 55,11.2,ENE | 59,4.7
12/3/2019,1800,12.25,53.4,0.01,0.01,29.96,92,55.8,62.1,1104,49,725,E | 89,6.2,E | 81,1.6
12/3/2019,1700,12.25,54.2,0,0,29.97,90,57.2,62.1,1104,49,725,E | 79,6.5,ESE | 104,3
12/3/2019,1600,12.25,55.1,0,0,29.97,88,58.8,62.1,1104,49,725,E | 80,6.6,ENE | 75,3.4
12/3/2019,1500,12.25,55.6,0,0,29.98,85,60.1,62.1,1104,49,725,NE | 43,6.3,E | 87,2
12/3/2019,1400,12.25,54.8,0,0,30,85,59.4,62.1,1104,49,725,SW | 232,2.8,W | 259,0.8
12/3/2019,1300,12.25,54.7,0,0,30.02,83,59.8,62.1,1104,49,725,NW | 307,8.1,E | 86,2.8
12/3/2019,1200,12.25,53.5,0,0,30.05,77,60.6,62.1,1104,49,725,E | 94,7.8,ESE | 109,5
12/3/2019,1100,12.25,53.5,0,0,30.11,86,57.5,61.3,1057,49,725,E | 99,12.1,ENE | 75,7.7
12/3/2019,1000,12.25,50.6,0,0,30.12,94,52.3,54.4,121,49,725,E | 85,13.2,ENE | 77,10.5
12/3/2019,900,12.25,49.5,0,0,30.1,94,51.2,54.4,121,49,725,E | 84,13.9,ENE | 75,10.5
12/3/2019,800,12.25,48.4,0,0,30.1,92,50.5,54.4,121,49,725,ENE | 77,14.9,ENE | 73,11.8
12/3/2019,700,12.26,49.2,0,0,30.11,93,51.1,54.4,121,49.9,538,ENE | 75,15.3,ENE | 78,11
12/3/2019,600,12.26,49.1,0,0,30.11,94,50.7,54.4,121,49.9,538,ENE | 77,14.1,E | 80,11.2
12/3/2019,500,12.27,50.5,0,0,30.11,92,52.6,54.4,121,51.3,235,ENE | 77,14.2,ENE | 74,10.1
12/3/2019,400,12.27,50.6,0,0,30.12,93,52.5,54.4,121,51.3,235,E | 79,13,ENE | 77,9.3
12/3/2019,300,12.27,50.6,0,0,30.13,95,52,54.4,121,51.3,235,E | 85,9.3,E | 87,7.1
12/3/2019,200,12.29,51.7,0,0,30.13,93,53.5,54.4,121,52.4,200,E | 85,10.4,E | 86,7.3
12/3/2019,100,12.29,51.8,0,0,30.13,94,53.4,54.2,40,52.9,21,E | 86,8.5,E | 79,6
12/3/2019,0,12.25,51.6,0,0.33,30.13,94,53.3,60.6,1525,52.5,2238,E | 95,9.4,NE | 53,4.8
12/2/2019,2300,12.25,51.7,0,0.33,30.12,93,53.6,60.6,1525,52.5,2238,E | 87,8.2,NE | 52,5.1
12/2/2019,2200,12.25,51.7,0.03,0.33,30.13,89,54.7,60.6,1525,53.6,1915,ENE | 77,9.5,E | 91,3.2
12/2/2019,2100,12.25,51,0,0.3,30.13,84,55.8,60.6,1525,53.6,1915,E | 90,10,ENE | 59,5.3
12/2/2019,2000,12.25,52.3,0,0.3,30.1,92,54.5,60.6,1525,53.6,1915,E | 79,10.7,NE | 41,4.8
12/2/2019,1900,12.25,52.4,0,0.3,30.1,88,56,60.6,1525,54.1,1900,ESE | 105,12,ESE | 111,4.1
12/2/2019,1800,12.25,53.8,0,0.3,30.08,91,56.6,60.6,1525,54.1,4,SE | 130,16.5,ESE | 116,4.3
12/2/2019,1700,12.25,53.8,0,0.3,30.06,86,58.1,60.6,1525,54.1,4,ENE | 71,9.6,NE | 48,6.1
12/2/2019,1600,12.25,54.4,0,0.3,30.04,82,59.8,60.6,1525,54.1,4,E | 89,12.8,E | 98,5.5
12/2/2019,1500,12.25,54.6,0,0.3,30.02,86,58.6,60.1,1213,54.1,4,ESE | 103,22.2,E | 91,8.9
