"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,ACMI2,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,AVBA,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,shrubs,BAPI,12,100
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,BRDI2,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,CAOV4,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,CASU6,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,CATU3,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,CIVU,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,HYRA3,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,JUOC2,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,NAPU4,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,PLLA,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,shrubs,RUUR,1,50
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,SIBE,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,SOAS,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,shrubs,TODI,1,50
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,TRDU2,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,TRSU3,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,VISA,,
SMA-11-01,TOKA,TOKA-006,2018-04-19,grassesAndForbs,VITE,,
SMA-11-01,TOKA,TOKA-006,2021-05-14,shrubs,BAPI,20,150
SMA-11-01,TOKA,TOKA-006,2021-05-14,grassesAndForbs,BRDI3,,
SMA-11-01,TOKA,TOKA-006,2021-05-14,grassesAndForbs,DACA3,,
SMA-11-01,TOKA,TOKA-006,2021-05-14,grassesAndForbs,TRDU2,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,ANAR,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,shrubs,BAPI,20,120
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,BRDI3,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,CENTA2,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,HOLA,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,JUBU,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,LOPEM2,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,PAVI3,,
SMA-11-01,TOKA,TOKA-006,2024-06-13,grassesAndForbs,PSCA13,,
