PointID,CollectDate,County,Ranch,Depth,Olsen P (ppm),pH,CEC (Sum of Cations me/100g),Calcium (cmol (+)/kg),Magnesium (cmol (+)/kg),Potassium (cmol (+)/kg),Sodium (cmol (+)/kg),Total Nitrogen (%)
TK-001A,2/17/2015,San Mateo,TOMKAT,0 to 10,4.7,5.8,26,9.3,7.4,0.680,0.17,0.19
TK-001B,2/17/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.8,23,9,8.2,0.390,0.25,0.12
TK-020A,2/17/2015,San Mateo,TOMKAT,0 to 10,9.6,5.7,45,19,10.0,1.100,0.22,0.35
TK-020B,2/17/2015,San Mateo,TOMKAT,10 to 40,4,5.7,40,18,11.0,0.600,0.21,0.18
TK-035A,2/17/2015,San Mateo,TOMKAT,0 to 10,11,6.3,46,23,10.0,1.100,0.22,0.28
TK-035B,2/17/2015,San Mateo,TOMKAT,10 to 40,4.4,5.9,38,22,10.0,0.490,0.31,0.16
TK-045A,2/17/2015,San Mateo,TOMKAT,0 to 10,8.4,6.1,43,17,9.5,1.200,0.22,0.34
TK-045B,2/17/2015,San Mateo,TOMKAT,10 to 40,2.9,5.7,44,18,12.0,0.690,0.14,0.22
TK-055A,2/17/2015,San Mateo,TOMKAT,0 to 10,6.6,5.1,27,8.4,4.7,1.100,0.14,0.31
TK-055B,2/17/2015,San Mateo,TOMKAT,10 to 40,3.9,5,26,8.1,5.1,0.750,0.15,0.26
TK-067A,2/17/2015,San Mateo,TOMKAT,0 to 10,9.3,5.9,50,23,14.0,0.820,0.27,0.33
TK-067B,2/17/2015,San Mateo,TOMKAT,10 to 40,3.6,5.7,58,24,15.0,0.640,0.6,0.24
TK-071A,2/17/2015,San Mateo,TOMKAT,0 to 10,22,5.8,65,23,11.0,2.000,0.23,0.61
TK-071B,2/17/2015,San Mateo,TOMKAT,10 to 40,11,5.6,60,17,12.0,1.200,0.28,0.3
TK-072A,2/17/2015,San Mateo,TOMKAT,0 to 10,4.2,5.6,33,9.8,6.8,1.700,0.14,0.4
TK-072B,2/17/2015,San Mateo,TOMKAT,10 to 40,2.3,5.4,24,5,5.8,1.000,0.17,0.24
TK-089A,2/17/2015,San Mateo,TOMKAT,0 to 10,41,6,59,23,8.5,1.600,< 0.090,0.55
TK-089B,2/17/2015,San Mateo,TOMKAT,10 to 40,21,6.1,62,21,8.7,0.850,0.21,0.41
TK-091A,2/17/2015,San Mateo,TOMKAT,0 to 10,13,6,41,18,8.7,1.000,< 0.090,0.27
TK-091B,2/17/2015,San Mateo,TOMKAT,10 to 40,4.4,5.9,39,16,8.5,0.590,0.27,0.25
TK-122A,2/17/2015,San Mateo,TOMKAT,0 to 10,15,6,45,17,12.0,1.100,0.31,0.29
TK-122B,2/17/2015,San Mateo,TOMKAT,10 to 40,5.3,6.1,39,16,13.0,0.750,0.5,0.16
TK-147A,2/17/2015,San Mateo,TOMKAT,0 to 10,12,6,45,18,13.0,0.930,0.28,0.3
TK-147B,2/17/2015,San Mateo,TOMKAT,10 to 40,2.8,6.3,40,17,13.0,0.410,0.24,0.15
TK-154A,2/17/2015,San Mateo,TOMKAT,0 to 10,8.3,5.7,40,14,11.0,0.710,0.24,0.29
TK-154B,2/17/2015,San Mateo,TOMKAT,10 to 40,3.3,5.4,47,15,11.0,0.570,0.33,0.24
TK-161A,2/17/2015,San Mateo,TOMKAT,0 to 10,4.7,5.6,56,15,8.9,1.100,0.2,0.41
TK-161B,2/17/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.3,34,10,8.7,0.680,0.38,0.25
TK-006A,1/19/2015,San Mateo,TOMKAT,0 to 10,3.8,5.3,19,5.9,3.7,0.560,0.29,0.24
TK-006B,1/19/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.4,20,5.5,4.6,0.330,0.48,0.16
TK-007A,1/19/2015,San Mateo,TOMKAT,0 to 10,3.2,5.5,16,4.4,4.3,0.620,0.47,0.15
TK-007B,1/19/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.1,22,5.1,7.2,0.590,0.76,0.13
TK-016A,1/19/2015,San Mateo,TOMKAT,0 to 10,4.5,5.6,43,13,12.0,1.100,0.47,0.29
TK-016B,1/19/2015,San Mateo,TOMKAT,10 to 40,3,5.7,42,13,13.0,0.660,0.61,0.21
TK-018A,1/19/2015,San Mateo,TOMKAT,0 to 10,2.8,5.9,34,11,9.1,0.770,0.58,0.25
TK-018B,1/19/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.8,32,9.8,8.7,0.540,0.73,0.21
TK-022A,1/19/2015,San Mateo,TOMKAT,0 to 10,11,5.9,44,15,12.0,0.820,0.56,0.29
TK-022B,1/19/2015,San Mateo,TOMKAT,10 to 40,2.2,5.2,41,13,12.0,0.580,0.62,0.19
TK-030A,1/19/2015,San Mateo,TOMKAT,0 to 10,8.3,5.5,33,9.2,6.3,1.100,0.31,0.32
TK-030B,1/19/2015,San Mateo,TOMKAT,10 to 40,3.5,5.6,36,8,6.4,0.850,0.42,0.24
TK-041A,1/19/2015,San Mateo,TOMKAT,0 to 10,10,5.6,32,11,5.1,0.990,0.35,0.36
TK-041B,1/19/2015,San Mateo,TOMKAT,10 to 40,4.6,5.7,30,10,4.8,0.630,0.39,0.27
TK-057A,1/19/2015,San Mateo,TOMKAT,0 to 10,5.5,5.6,28,11,6.3,0.720,0.44,0.3
TK-057B,1/19/2015,San Mateo,TOMKAT,10 to 40,< 2.0,5.8,28,10,6.4,0.480,0.52,0.23
TK-060A,1/19/2015,San Mateo,TOMKAT,0 to 10,12,5.8,39,18,8.0,1.000,0.26,0.34
TK-060B,1/19/2015,San Mateo,TOMKAT,10 to 40,6.2,5.7,37,17,8.4,0.670,0.36,0.23
TK-061A,1/19/2015,San Mateo,TOMKAT,0 to 10,5.7,5.9,34,13,7.5,1.000,0.36,0.27
TK-061B,1/19/2015,San Mateo,TOMKAT,10 to 40,3.1,5.9,33,12,7.4,0.760,0.33,0.22
TK-064A,1/19/2015,San Mateo,TOMKAT,0 to 10,28,5.7,48,18,5.9,2.700,< 0.090,0.65
TK-064B,1/19/2015,San Mateo,TOMKAT,10 to 40,19,5.5,38,13,4.8,1.900,0.1,0.48
TK-068A,1/19/2015,San Mateo,TOMKAT,0 to 10,11,5.5,33,13,8.5,0.640,0.41,0.28
TK-068B,1/19/2015,San Mateo,TOMKAT,10 to 40,5,5.5,36,14,9.1,0.440,0.41,0.26
TK-080A,1/19/2015,San Mateo,TOMKAT,0 to 10,8.7,5.7,39,13,10.0,0.900,0.3,0.3
TK-080B,1/19/2015,San Mateo,TOMKAT,10 to 40,5,5.2,42,13,11.0,0.650,0.45,0.2
TK-099A,1/19/2015,San Mateo,TOMKAT,0 to 10,9.4,5.6,35,13,8.0,1.000,0.12,0.29
TK-099B,1/19/2015,San Mateo,TOMKAT,10 to 40,3.7,5.5,34,14,8.8,0.720,0.22,0.21
TK-115A,1/19/2015,San Mateo,TOMKAT,0 to 10,6,5.7,38,12,10.0,1.200,0.37,0.29
TK-115B,1/19/2015,San Mateo,TOMKAT,10 to 40,2.4,5.4,37,11,11.0,0.800,0.41,0.24
TK-119A,1/19/2015,San Mateo,TOMKAT,0 to 10,15,5.8,38,12,10.0,1.100,0.18,0.27
TK-119B,1/19/2015,San Mateo,TOMKAT,10 to 40,5.4,5.3,40,12,12.0,0.680,0.53,0.19
TK-126A,1/19/2015,San Mateo,TOMKAT,0 to 10,8.6,5.8,43,16,10.0,0.940,0.5,0.42
TK-126B,1/19/2015,San Mateo,TOMKAT,10 to 40,2.4,5.6,40,16,11.0,0.700,0.46,0.25
TK-129A,1/19/2015,San Mateo,TOMKAT,0 to 10,8.7,5.6,33,12,7.0,0.840,0.3,0.35
