Project,Study Area,Transect Name,Point Name,Protocol,Date,Start Time,End Time,Sample Number,Sample Distance,Sample Bearing,Ring Infiltrometer Diameter,Water Volume,Bulk Density Diameter,Bulk Density Height,Carbon 0-10 cm,Clay 0-10 cm,Sand 0-10 cm,Silt 0-10 cm,Carbon 10-40 cm,Clay 10-40 cm,Sand 10-40 cm,Silt 10-40 cm,Grazed This Year,Bare Ground,Litter Depth,Catenal Position,Water Infiltration Time 1,Water Infiltration Time 2,Water Infiltration Time 3,Water Infiltration Time 4,Extrapolated,Bulk Density Wet Wt,Bulk Density Dry Wt,Bulk Density Rock Wt,Bulk Density Rock Vol,Max Depth,Researcher,Other Observers Count,Other Observers Names,Event Remarks,Observation Remarks,Status
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,2/25/2015,,,1,554606,4124485,15.2,450,5.1,7.5,2.6,0,0,0,1.6,21.5,55,23.8,1,3,2.5,,0:02:56,0:10:23,0:00:00,,0,0,0,0,0,37,"Preston, Mel",0,,SCRUB; Bulk densities not processed b/c PO oil; distance from pt is in GPS coords as impossible to pace or take a bearing in scrub.,,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,2/25/2015,,,2,554586,4124501,15.2,450,5.1,7.5,2.6,0,0,0,1.6,21.5,55,23.8,1,0,3.5,,0:01:44,0:05:02,0:00:00,,0,0,0,0,0,37,"Preston, Mel",0,,SCRUB; Bulk densities not processed b/c PO oil; distance from pt is in GPS coords as impossible to pace or take a bearing in scrub.,,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,2/25/2015,,,3,554604,4124465,15.2,450,5.1,7.5,2.6,0,0,0,1.6,21.5,55,23.8,1,8,2,,0:00:39,0:01:46,0:00:00,,0,0,0,0,0,38,"Preston, Mel",0,,SCRUB; Bulk densities not processed b/c PO oil; distance from pt is in GPS coords as impossible to pace or take a bearing in scrub.,,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,2/25/2015,,,4,554579,4124470,15.2,450,5.1,7.5,2.6,0,0,0,1.6,21.5,55,23.8,1,0,7,,0:00:05,0:00:10,0:00:00,,0,0,0,0,0,36,"Preston, Mel",0,,SCRUB; Bulk densities not processed b/c PO oil; distance from pt is in GPS coords as impossible to pace or take a bearing in scrub.,,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,2/25/2015,,,5,554556,4124487,15.2,450,5.1,7.5,2.6,0,0,0,1.6,21.5,55,23.8,1,0,3,,0:00:40,0:02:04,0:00:00,,0,0,0,0,0,37,"Preston, Mel",0,,SCRUB; Bulk densities not processed b/c PO oil; distance from pt is in GPS coords as impossible to pace or take a bearing in scrub.,,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,1/18/2018,,,1,554606,4124485,15.2,450,5.1,7.5,2.2,0,0,0,1.5,20,60,20,0,6,0.3,SH,0:00:52,,,,0,207,167.7,0,0,40,"Rubenthaler, Rya",0,,"At property boundary on west side, fenced out--ungrazed. Thick blackberry at bottom of hill, opens into grass and coyote brush at top.",,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,1/18/2018,,,2,554586,4124501,15.2,450,5.1,7.5,2.2,0,0,0,1.5,20,60,20,0,10,0.3,MS,0:03:11,,,,0,232.5,194.4,0,0,40,"Rubenthaler, Rya",0,,"At property boundary on west side, fenced out--ungrazed. Thick blackberry at bottom of hill, opens into grass and coyote brush at top.",,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,1/18/2018,,,3,554604,4124465,15.2,450,5.1,7.5,2.2,0,0,0,1.5,20,60,20,0,0,5,MS,0:01:35,,,,0,241.5,192.5,0,0,40,"Rubenthaler, Rya",0,,"At property boundary on west side, fenced out--ungrazed. Thick blackberry at bottom of hill, opens into grass and coyote brush at top.",,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,1/18/2018,,,4,554579,4124470,15.2,450,5.1,7.5,2.2,0,0,0,1.5,20,60,20,0,1,0.5,SH,0:00:31,,,,0,256,211.6,0,0,40,"Rubenthaler, Rya",0,,"At property boundary on west side, fenced out--ungrazed. Thick blackberry at bottom of hill, opens into grass and coyote brush at top.",,RAW
TOMKAT,SMA-11-01,TOKA,TOKA-001,RMN_SOIL_SAMPLE_V1,1/18/2018,,,5,554556,4124487,15.2,450,5.1,7.5,2.2,0,0,0,1.5,20,60,20,0,1,2,MS,0:00:09,,,,0,233.4,189.1,0,0,40,"Rubenthaler, Rya",0,,"At property boundary on west side, fenced out--ungrazed. Thick blackberry at bottom of hill, opens into grass and coyote brush at top.",,RAW
