X,ID,Accepted.Symbol,Symbol,Scientific.Name,Common.Name,Genus,Family,Family.Common.Name,Duration,Growth.Habit,Native.Status,Invasive,FunGrp1,FunGrp2,FunGrp,Updated
1403,127,ACHYR,ACHYR,Achyrachaena,blow wives,Achyrachaena,Asteraceae,Aster family,,,,,NA,NA,Annual Forb,X
3375,241,AGROS,AGROS,Agrostemma,corncockle,Agrostemma,Caryophyllaceae,Pink family,,,,,NA,NA,Annual Forb,X
2299,504,AMSIN,AMSIN,Amsinckia,fiddleneck,Amsinckia,Boraginaceae,Borage family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
659,613,ANTHE,ANTHE,Anthemis,chamomile,Anthemis,Asteraceae,Aster family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
2172,11818,BOCAC,BOCAC,Micropus californicus,Q-Tips,Micropus,Asteraceae,,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
2367,1510,BORAG,BORAG,Borago,borage,Borago,Boraginaceae,Borage family,,,,,NA,NA,Annual Forb,X
9649,1722,CALAN,CALAN,Calandrinia,redmaids,Calandrinia,Portulacaceae,Purslane family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
2830,1987,CAPSE,CAPSE,Capsella,capsella,Capsella,Brassicaceae,Mustard family,,,,,NA,NA,Annual Forb,X
11642,2455,CENTR,CENTR,Centranthus,centranthus,Centranthus,Valerianaceae,Valerian family,,,,,NA,NA,Annual Forb,X
1647,2457,CENTR8,CENTR8,Centromadia,tarweed,Centromadia,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
7456,2841,CLARK,CLARK,Clarkia,clarkia,Clarkia,Onagraceae,Evening Primrose family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
11138,2986,COLLI,COLLI,Collinsia,blue eyed Mary,Collinsia,Scrophulariaceae,Figwort family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
1434,3063,CONYZ,CONYZ,Conyza,horseweed,Conyza,Asteraceae,Aster family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
1810,3536,DEINA2,DEINA2,Deinandra,tarweed,Deinandra,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
3145,3764,DOWNI,DOWNI,Downingia,calicoflower,Downingia,Campanulaceae,Bellflower family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
5714,4653,ERODI,ERODI,Erodium,stork's bill,Erodium,Geraniaceae,Geranium family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
720,4889,FILAG,FILAG,Filago,cottonrose,Filago,Asteraceae,Aster family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
8939,5221,GILIA,GILIA,Gilia,gilia,Gilia,Polemoniaceae,Phlox family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
1133,5542,HEMIZ,HEMIZ,Hemizonia,tarweed,Hemizonia,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
1106,5726,HOLOC,HOLOC,Holocarpha,tarweed,Holocarpha,Asteraceae,Aster family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
902,6207,LAGOP,LAGOP,Lagophylla,hareleaf,Lagophylla,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
929,6338,LAYIA,LAYIA,Layia,tidytips,Layia,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
837,6377,LEONT,LEONT,Leontodon,hawkbit,Leontodon,Asteraceae,Aster family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
6272,6603,LISC4,LISC4,Lilaea scilloides,awl-leaf lilaea,Lilaea,Juncaginaceae,Arrow-grass family,Annual,Graminoid,"L48 (N), CAN (N)",,Annual,Graminoid,Annual Forb,X
868,6759,LOGFI2,LOGFI2,Logfia,cottonrose,Logfia,Asteraceae,Aster family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
1014,7231,MADIA,MADIA,Madia,tarweed,Madia,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
964,7352,MATRI,MATRI,Matricaria,mayweed,Matricaria,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
1003,7479,MICRO5,MICRO5,Micropus,cottonseed,Micropus,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
3403,8632,PETRO,PETRO,Petrorhagia,pink,Petrorhagia,Caryophyllaceae,Pink family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
1507,9502,PSEUD2,PSEUD2,Pseudobahia,sunburst,Pseudobahia,Asteraceae,Aster family,,,,,NA,NA,Annual Forb,X
1509,9508,PSEUD43,PSEUD43,Pseudognaphalium,cudweed,Pseudognaphalium,Asteraceae,Aster family,Annual,Forb/herb,,,NA,NA,Annual Forb,X
1512,9538,PSILO,PSILO,Psilocarphus,woollyheads,Psilocarphus,Asteraceae,Aster family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
2916,9757,RAPHA,RAPHA,Raphanus,radish,Raphanus,Brassicaceae,Mustard family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
2065,10617,SILYB,SILYB,Silybum,milkthistle,Silybum,Asteraceae,Aster family,,,,STATE,NA,NA,Annual Forb,X
2995,10625,SISYM,SISYM,Sisymbrium,hedgemustard,Sisymbrium,Brassicaceae,Mustard family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
2998,11169,THYSA,THYSA,Thysanocarpus,fringepod,Thysanocarpus,Brassicaceae,Mustard family,Annual,Forb/herb,L48 (N),,NA,NA,Annual Forb,X
379,11200,TORIL,TORIL,Torilis,hedgeparsley,Torilis,Apiaceae,Carrot family,Annual,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
1996,11221,TRACY,TRACY,Tracyina,Indian headdress,Tracyina,Asteraceae,Aster family,,,,,NA,NA,Annual Forb,X
1997,11228,TRAGO,TRAGO,Tragopogon,goatsbeard,Tragopogon,Asteraceae,Aster family,Perennial,Forb/herb,L48 (I),,NA,NA,Annual Forb,X
8362,167,AEGIL,AEGIL,Aegilops,goatgrass,Aegilops,Poaceae,Grass family,Annual,Graminoid,L48 (I),,NA,NA,Annual Grass,X
8283,271,AIRA,AIRA,Aira,hairgrass,Aira,Poaceae,Grass family,Annual,Graminoid,L48 (I),,NA,NA,Annual Grass,X
8639,1356,AVENA,AVENA,Avena,oat,Avena,Poaceae,Grass family,Annual,Graminoid,L48 (I),,NA,NA,Annual Grass,X
8414,6442,LEPTO,LEPTO,Leptochloa,sprangletop,Leptochloa,Poaceae,Grass family,,,,,NA,NA,Annual Grass,X
NA,NA,TRRI,TRRI,Triticosecale,triticale,Triticosecale,Poaceae,Grass family,Annual,Graminoid,L48 (I),,,,Annual Grass,X
8753,11705,VULPI,VULPI,Vulpia,fescue,Vulpia,Poaceae,Grass family,Annual,Graminoid,,,NA,NA,Annual Grass,X
NA,NA,FABACE,FABACE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Legumes,X
8663,406,ALOPE,ALOPE,Alopecurus,foxtail,Alopecurus,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
NA,NA,APIACE,APIACE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Other,X
3311,882,ARENA,ARENA,Arenaria,sandwort,Arenaria,Caryophyllaceae,Pink family,,Forb,,,NA,NA,Other,X
8679,931,ARIST,ARIST,Aristida,threeawn,Aristida,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
NA,NA,BORAGI,BORAGI,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Other,X
2588,1562,BRASS2,BRASS2,Brassica,mustard,Brassica,Brassicaceae,Mustard family,Annual,Forb/herb,L48 (I),,NA,NA,Other,X
3021,11823,BRASSI,BRASSI,,,,Brassicaceae,,,Forb,,,NA,Forb,Other,X
8026,1624,BROMU,BROMU,Bromus,brome,Bromus,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
NA,NA,CARYOP,CARYOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Other,X
11233,2234,CASTI2,CASTI2,Castilleja,Indian paintbrush,Castilleja,Scrophulariaceae,Figwort family,,Forb,,,NA,NA,Other,X
1650,2422,CENTA,CENTA,Centaurea,knapweed,Centaurea,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
3359,2474,CERAS,CERAS,Cerastium,mouse-ear chickweed,Cerastium,Caryophyllaceae,Pink family,,Forb,,,NA,NA,Other,X
NA,NA,CHENOP,CHENOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Other,X
8017,2648,CHLOR,CHLOR,Chloris,windmill grass,Chloris,Poaceae,Grass family,,Grass,,,NA,NA,Other,X
1339,2766,CIRSI,CIRSI,Cirsium,thistle,Cirsium,Asteraceae,Aster family,,Forb,,STATE,NA,NA,Other,X
9644,2912,CLAYT,CLAYT,Claytonia,springbeauty,Claytonia,Portulacaceae,Purslane family,,Forb,,,NA,NA,Other,X
1448,3205,CREPI,CREPI,Crepis,hawksbeard,Crepis,Asteraceae,Aster family,,Forb,,,NA,NA,Other,X
4683,3246,CROTO,CROTO,Croton,croton,Croton,Euphorbiaceae,Spurge family,,Forb,,,NA,NA,Other,X
2490,3261,CRYPT,CRYPT,Cryptantha,cryptantha,Cryptantha,Boraginaceae,Borage family,,Forb,,,NA,NA,Other,X
