Pasture,Year,Trees,Shrubs,Forbs ,Misc,Weeds,Grass,AnnualGr,PereGr,NativeGr,BareGround
1,2011,0,2,26,0.5,1,71,55,16,0,0.5
2a,2011,0,9,13,1,4,73,56,16,0,0.5
2b,2011,0,4,4,1,6,86,72,14,0,0
3,2011,0,4,13,0.5,6,77,68,9,0,0.5
4,2011,0,3,7,0.5,1,86,59,27,0,3
5,2011,0,4,3,0.5,1,92,64,27,0,0.5
6a,2011,0,4,13,0.5,0,80,58,22,0,3
6b,2011,0,11,33,0.5,0,54,51,3,0,3
7,2011,0,4,20,0.5,1,75,59,16,0,0.5
8,2011,0,4,21,0.5,1,74,58,16,0,0
9,2011,0,11,21,0.5,1,68,45,22,0,0
10,2011,0,14,7,0.5,1,78,73,5,0,0.5
11,2011,0,11,6,0,0,83,66,17,0,0.5
12a,2011,0,4,20,0.5,1,76,68,8,0,0
12b,2011,0,11,20,0.5,1,67,48,19,0.5,0.5
14,2011,0,29,26,0.5,1,45,39,5,0,0.5
15,2011,0,29,6,0.5,1,61,49,12,0,3
16a,2011,0,0,11,0,1,79,77,2,0,10
16b,2011,0,0,11,0,1,79,77,2,0,10
17,2011,0,23,21,0,1,53,52,1,0,3
18,2011,0,4,33,0,4,58,49,8,0,3
19,2011,0,1,14,0.5,4,59,59,0,0,22.5
20,2011,0,4,4,0,4,89,86,3,0,0.5
21,2011,0,11,3,7,1,68,66,2,0,10
22,2011,0,1,4,0.5,4,89,87,2,0,3
23,2011,0,1,10,0.5,1,79,75,3,0,10
24,2011,0,3,11,0,1,85,85,0,0,0.5
25,2011,0,4,13,0.5,11,69,60,9,0,3
26,2011,0,7,11,0.5,13,69,58,11,0,0.5
27,2011,0,1,13,0.5,4,82,66,16,0.5,0.5
28,2011,0,2,20,0,11,68,47,21,0,0.5
29,2011,0,4,21,0.5,4,71,62,9,0,0.5
30a,2011,0,4,1,0.5,4,90,62,28,0,0.5
30b,2011,0,4,1,0.5,4,90,62,28,0,0.5
31,2011,0,2,11,0.5,4,84,55,28,0,0.5
32,2011,0,4,21,0.5,1,72,61,10,0,3
33,2011,0,1,13,0.5,1,84,60,24,0.5,0.5
34,2011,0,4,14,0.5,1,81,52,28,0,0.5
35,2011,0,6,4,0.5,1,89,76,13,0,0.5
36,2011,0,4,13,0.5,1,82,79,2,0,0
37a,2011,0,16,30,0.5,4,40,24,15,10,10
37b,2011,0,16,30,0.5,4,40,24,15,10,10
38a,2011,0,0,10,3,3,81,76,5,0,3
38b,2011,0,0,10,3,3,81,76,5,0,3
39a,2011,1,4,13,3,6,71,53,18,1,3
40,2011,0,3,10,0,6,78,71,7,0,3
41,2011,0,6,10,3,6,65,65,0,0,10
42,2011,0,3,3,0,4,91,30,61,0,0
43,2011,0,4,23,0,11,61,51,9,0,3
44,2011,0,3,3,0,4,91,30,61,0,0
45,2011,0,1,11,0.5,11,77,75,1,0,0.5
46,2011,0,2,11,0.5,10,77,49,28,0,0.5
47,2011,0,1,14,0,4,80,68,11,0,3
48,2011,0,0,11,0,1,88,59,29,0,0.5
49,2011,0,4,23,0,11,61,51,9,0,3
50,2011,0,1,14,0.5,1,85,74,11,0,0.5
51,2011,0,2,11,0,4,84,72,12,0,0.5
52,2011,0,1,11,0.5,1,87,87,0,0,0.5
53,2011,0,0,13,0,1,86,84,2,0,0.5
55,2011,0,1,4,0.5,1,95,95,0,0,0
56,2011,0,3,1,0,4,70,69,1,0,22.5
57,2011,0,3,33,0.5,4,60,60,0,0,0.5
58a,2011,0,11,21,0.5,11,58,58,0,0,0.5
58b,2011,0,11,21,0.5,11,58,58,0,0,0.5
59,2011,0,11,1,3.5,13,73,61,12,0,0
61,2011,0,4,11,0.5,1,84,75,9,0,0.5
62,2011,1,4,21,0,1,71,50,21,0,3
63,2011,0,2,23,0,1,65,58,7,0,10
64,2011,0,2,23,0,4,72,61,11,0,0.5
65,2011,0,1,11,0.5,11,77,68,9,0,0.5
66,2011,0,1,11,0,4,85,78,7,0,0.5
67,2011,0,1,21,0,5,74,64,9,0,0.5
68,2011,0,2,14,0,3,82,73,9,0,0.5
