pasture,year,natgdiv,nonngdiv,invdiv,natfdiv,nonnfdiv,shrubdiv,treediv,sedgediv,ferndiv,horsediv,rushdiv,totaldiv
1,2012,1,13,2,2,6,3,4,0,1,0,1,33
3,2012,1,11,3,0,5,3,1,0,0,0,1,25
4,2012,1,12,3,1,6,3,1,0,0,0,1,28
5,2012,3,13,2,1,6,4,2,1,1,0,1,34
7,2012,3,9,2,0,4,3,1,0,0,0,1,23
8,2012,1,11,2,0,3,3,1,0,0,0,1,22
9,2012,1,11,3,0,3,3,1,0,0,0,1,23
10,2012,2,10,2,0,5,3,2,0,1,0,1,26
11,2012,2,8,3,0,6,3,1,0,1,0,1,25
14,2012,1,10,4,0,6,4,4,0,1,0,1,31
15,2012,0,13,5,0,6,4,0,0,1,0,1,30
17,2012,0,11,4,0,5,4,3,0,1,0,1,29
18,2012,0,13,3,1,7,3,2,0,1,1,1,32
19,2012,0,13,5,1,7,3,1,0,0,0,1,31
20,2012,0,6,5,0,5,5,1,0,1,0,0,23
21,2012,0,14,6,1,6,3,2,1,1,1,1,36
22,2012,1,13,5,1,6,3,2,0,0,0,1,32
23,2012,2,15,3,0,6,2,0,1,0,0,1,30
25,2012,2,12,5,0,6,5,3,0,1,0,1,35
26,2012,3,13,6,1,6,6,0,0,1,0,1,37
27,2012,0,13,4,0,6,3,2,0,0,0,1,29
28,2012,1,11,5,0,6,6,1,0,0,0,1,31
29,2012,1,12,5,0,7,4,0,0,0,0,1,30
31,2012,1,11,4,0,7,6,2,0,1,0,1,33
32,2012,1,15,4,0,6,7,3,0,1,0,1,38
33,2012,1,11,4,0,5,6,3,0,1,0,1,32
34,2012,1,12,5,0,6,9,2,1,1,0,1,38
35,2012,1,13,7,0,6,4,1,1,0,0,1,34
36,2012,1,12,4,0,4,5,2,0,1,0,1,30
40,2012,0,15,5,0,6,5,5,0,1,1,1,39
41,2012,0,14,4,0,6,4,2,0,1,0,1,32
42,2012,0,14,4,0,5,4,1,0,1,0,0,29
43,2012,0,13,4,0,6,6,0,0,1,0,1,31
44,2012,0,13,4,0,6,3,0,0,0,0,1,27
45,2012,1,11,4,0,6,4,2,0,0,0,1,29
46,2012,0,13,4,0,6,3,0,0,0,0,0,26
47,2012,1,13,3,0,6,3,0,0,1,0,1,28
48,2012,0,10,3,0,6,2,0,0,1,0,0,22
49,2012,1,14,5,0,6,6,1,0,0,0,1,34
50,2012,0,11,3,1,6,3,0,0,0,0,0,24
51,2012,0,12,5,0,6,4,0,0,1,0,1,29
52,2012,0,12,4,1,6,5,1,0,1,0,1,31
53,2012,0,13,4,1,7,3,0,0,1,0,1,30
55,2012,0,11,4,0,5,3,0,0,0,0,1,24
56,2012,0,13,4,1,6,4,1,0,1,0,1,31
57,2012,0,11,4,2,6,5,0,0,1,0,1,30
59,2012,0,9,4,0,4,5,1,1,1,1,1,27
60,2012,0,10,3,0,4,5,1,1,1,1,1,27
61,2012,0,13,5,1,5,3,2,0,1,0,1,31
62,2012,0,13,4,2,5,3,1,0,1,0,1,30
63,2012,0,12,6,0,6,2,0,0,0,0,0,26
64,2012,0,14,5,0,6,4,0,0,0,0,1,30
65,2012,0,13,4,0,4,5,2,0,0,0,1,29
66,2012,0,15,6,0,6,5,1,0,1,0,0,34
67,2012,0,9,7,0,6,3,0,0,1,0,0,26
68,2012,0,12,5,0,6,3,1,0,1,0,0,28
12a,2012,1,12,4,0,6,6,0,0,0,0,1,30
12b,2012,0,12,2,0,6,5,3,0,1,1,1,31
16a,2012,1,13,4,0,6,5,1,0,1,0,1,32
16b,2012,1,12,6,1,7,3,1,0,1,0,1,33
2a,2012,0,13,3,1,6,5,4,0,1,0,1,34
2b,2012,0,9,3,0,3,4,1,0,0,1,1,22
30a,2012,2,14,5,0,7,4,1,0,0,0,1,34
30b,2012,1,9,4,0,6,6,4,0,0,0,1,31
37a,2012,0,9,5,0,6,4,3,0,0,0,1,28
37b,2012,0,10,4,0,6,2,0,1,0,1,1,25
38a,2012,0,12,5,0,5,3,1,1,0,0,1,28
38b,2012,1,6,5,0,3,2,0,0,1,0,0,18
39a,2012,0,14,6,0,6,4,0,0,0,0,1,31
39b,2012,0,14,4,0,5,5,3,1,1,1,1,35
58a,2012,0,15,4,1,6,6,1,0,1,1,1,36
58b,2012,0,10,6,0,6,3,1,0,0,1,1,28
6a,2012,2,10,1,1,5,4,0,0,1,0,1,25
6b,2012,1,10,1,0,4,3,0,0,1,0,1,21
1,2013,4,9,2,2,7,3,2,0,1,1,0,31
3,2013,2,13,3,0,5,2,3,0,1,0,0,29
4,2013,2,13,0,2,3,2,0,0,1,0,0,23
5,2013,2,12,1,1,5,4,2,0,1,0,0,28
7,2013,3,13,3,2,5,3,1,0,1,0,0,31
8,2013,5,12,2,0,8,3,1,0,1,1,1,34
9,2013,3,16,2,0,7,4,4,0,1,0,0,37
10,2013,3,8,3,1,4,3,1,1,0,1,0,25
11,2013,2,11,3,0,4,3,1,1,0,1,0,26
14,2013,4,11,3,4,5,4,0,1,1,1,0,34
15,2013,3,12,3,2,7,4,1,1,0,1,0,34
17,2013,4,11,2,3,6,3,1,1,1,1,0,33
18,2013,3,12,3,4,6,3,1,1,0,0,0,33
19,2013,1,11,3,3,5,2,1,1,0,0,0,27
20,2013,0,4,4,0,5,4,2,0,0,0,0,19
