Date,Daily Max Temp (°F),Daily Min Temp (°F),Daily Rain (In)
12/31/2024,61.1,37.4,0
12/30/2024,58.3,41.8,0
12/29/2024,53.2,44.3,0.47
12/28/2024,52.4,43.5,0.05
12/27/2024,54.8,40.4,0.3
12/26/2024,55.9,45.4,0.28
12/25/2024,55.7,43.2,0
12/24/2024,52.4,41.2,0.79
12/23/2024,60.2,50,0.02
12/22/2024,59.8,47.4,0.03
12/21/2024,57.8,49.9,0.1
12/20/2024,66.9,51,0
12/19/2024,69,48,0
12/18/2024,71.8,50.6,0
12/17/2024,63.4,41.2,0
12/16/2024,53.8,41.9,0.29
12/15/2024,58.2,40.1,0
12/14/2024,54.9,42.4,1.71
12/13/2024,57.2,46,0.44
12/12/2024,56.7,47.5,0.87
12/11/2024,70.8,46.9,0
12/10/2024,68.9,41.8,0
12/9/2024,68.8,50.3,0
12/8/2024,70.3,47.8,0
12/7/2024,63.9,45.7,0
12/6/2024,72.1,47.8,0
12/5/2024,66.8,48,0
12/4/2024,64.7,47.4,0
12/3/2024,66,47,0
12/2/2024,66,49.2,0
12/1/2024,68.9,51.7,0
11/30/2024,69.3,44.8,0
11/29/2024,66.8,41,0
11/28/2024,61.4,42.5,0
11/27/2024,61.3,42.7,0
11/26/2024,51.9,40,0
11/25/2024,54.7,41.9,0.42
11/24/2024,60,38.3,0
11/23/2024,57.6,39.1,0.08
11/22/2024,59.2,40.9,3.22
11/21/2024,55.8,51.9,0.71
11/20/2024,60.5,52.6,0.39
11/19/2024,59.8,36.4,0
11/18/2024,53.2,43.3,0
11/17/2024,59.5,40,0.02
11/16/2024,56.2,40.1,0
11/15/2024,54.1,42.4,0
11/14/2024,60,46.9,0.03
11/13/2024,62.8,43,0.01
11/12/2024,58.9,43.8,0
11/11/2024,59.1,45.6,0.21
11/10/2024,67.5,44.4,0
11/9/2024,67.3,45.7,0
11/8/2024,68.7,46,0
11/7/2024,68.4,48,0
11/6/2024,69.3,50.4,0
11/5/2024,71,36.3,0
11/4/2024,71.4,49.8,0
11/3/2024,59.6,48.4,0
11/2/2024,58.9,40.2,0.08
11/1/2024,64,44.2,0.14
