Date,Time,Bat Volt Min Day (V),Dew Pt (°F),Latest Rain (In),Daily Rain (In),Barometric Pressure (inHg),RH (%),Temp (°F),Daily Max Temp (°F),Max Temp Time,Daily Min Temp (°F),Min Temp Time,Wind Dir (°),Wind Gust (mph),Wind Gst Dir (°),Wind Spd (mph)
9/23/20,1000,12.5,53,0,0,30.14,60,67.2,70.2,0955,55.9,0200,NNW | 337,16.6,NNW | 327,8.3
9/23/20,0900,12.5,48.3,0,0,30.13,57,64,64.8,0859,55.9,0200,N | 354,13.4,N | 354,6.1
9/23/20,0800,12.5,47.4,0,0,30.13,64,59.8,62.8,0800,55.9,0200,NNE | 22,9.5,N | 2,4
9/23/20,0700,12.5,46.8,0,0,30.12,65,58.6,59.9,0356,55.9,0200,N | 6,8,N | 0,2.7
9/23/20,0600,12.6,46.3,0,0,30.12,64,58.3,59.9,0356,55.9,0200,N | 3,6.8,NW | 320,1.9
9/23/20,0500,12.6,45.9,0,0,30.11,61,59.2,59.9,0356,55.9,0200,N | 359,7.1,N | 3,3.5
9/23/20,0400,12.6,46.9,0,0,30.1,63,59.4,59.9,0356,55.9,0200,N | 6,12.3,NNE | 22,5.4
9/23/20,0300,12.6,50.5,0,0,30.11,79,57,58.6,0256,55.9,0200,N | 6,7.8,NNE | 16,2.8
9/23/20,0200,12.6,50.9,0,0,30.12,81,56.6,57.1,0117,55.9,0159,N | 3,4.1,N | 350,1.7
9/23/20,0100,12.5,51.3,0,0,30.11,80,57.3,71.5,1239,56.9,0059,N | 351,6.7,N | 4,1.3
9/23/20,0000,12.5,51.3,0,0,30.12,77,58.3,71.5,1239,57,0719,N | 356,14.8,N | 2,4.3
9/22/20,2300,12.5,52.8,0,0,30.13,82,58.2,71.5,1239,57,0719,N | 11,10.9,NNE | 18,4.9
9/22/20,2200,12.5,53,0,0,30.12,83,58.2,71.5,1239,57,0719,N | 351,15.7,N | 350,6
9/22/20,2100,12.5,53,0,0,30.12,80,59.2,71.5,1239,57,0719,N | 357,16.3,N | 0,5.6
9/22/20,2000,12.5,54,0,0,30.11,83,59.3,71.5,1239,57,0719,NNW | 342,14.9,NW | 324,7.6
9/22/20,1900,12.5,54.9,0,0,30.11,73,64,71.5,1239,57,0719,NNW | 327,13.5,NW | 313,6.3
9/22/20,1800,12.5,55.3,0,0,30.1,72,64.6,71.5,1239,57,0719,NNW | 335,18.6,N | 352,10
9/22/20,1700,12.5,55.8,0,0,30.11,69,66,71.5,1239,57,0719,NW | 313,18.4,NNW | 331,11.6
9/22/20,1600,12.5,55.9,0,0,30.1,67,67.3,71.5,1239,57,0719,NW | 316,16.4,NW | 315,10.8
9/22/20,1500,12.5,56.1,0,0,30.1,70,66.2,71.5,1239,57,0719,NW | 320,19.3,NW | 322,12.8
9/22/20,1400,12.5,56.2,0,0,30.1,66,68.1,71.5,1239,57,0719,NW | 310,16.2,NW | 316,9.8
9/22/20,1300,12.5,56,0,0,30.11,62,69.9,71.5,1239,57,0719,NW | 305,10.7,NW | 313,6.9
9/22/20,1200,12.5,56.6,0,0,30.1,70,66.7,68.1,1041,57,0719,NW | 310,13.3,WNW | 288,8.6
9/22/20,1100,12.5,56.8,0,0,30.11,72,66,68.1,1041,57,0719,NW | 319,12.5,WNW | 296,7.2
9/22/20,1000,12.5,56.4,0,0,30.1,84,61.3,64.3,0957,57,0719,N | 349,10.7,NNW | 348,6.5
9/22/20,0900,12.5,56,0,0,30.09,93,58,59,0124,57,0719,NNW | 336,10.7,NNW | 336,6.3
9/22/20,0800,12.5,55.8,0,0,30.08,95,57.2,59,0124,57,0719,NNW | 338,9.8,NW | 324,5
9/22/20,0700,12.5,55.8,0,0,30.06,95,57.1,59,0124,57,0655,N | 349,9.4,N | 3,5.2
9/22/20,0600,12.5,55.9,0,0,30.06,96,57.1,59,0124,57,0538,N | 353,11.6,N | 0,5.6
9/22/20,0500,12.6,56,0,0,30.05,95,57.3,59,0124,57.1,0451,NNW | 348,11.1,NNW | 343,6.5
9/22/20,0400,12.6,56.4,0,0,30.04,95,57.9,59,0124,57.8,0400,NNW | 341,10.1,NNW | 346,5.6
9/22/20,0300,12.6,56.4,0,0,30.03,94,58.1,59,0124,57.9,0255,N | 354,10.2,NNW | 328,5.4
9/22/20,0200,12.6,56.1,0,0,30.04,90,58.9,59,0124,58.5,0159,N | 354,11.8,NNW | 335,5.9
9/22/20,0100,12.5,55.5,0,0.01,30.03,89,58.6,70.7,1520,51.7,0528,N | 2,7.4,N | 6,4.5
9/22/20,0000,12.5,56,0,0.01,30.02,89,59.2,70.7,1520,51.7,0528,N | 1,11.1,N | 353,5.7
9/21/20,2300,12.5,56.1,0,0.01,30.02,90,59.1,70.7,1520,51.7,0528,N | 349,8.5,N | 6,4.2
9/21/20,2200,12.5,56,0,0.01,30.02,90,58.8,70.7,1520,51.7,0528,N | 0,9.4,N | 354,5.5
9/21/20,2100,12.5,55.8,0,0.01,30.01,90,58.8,70.7,1520,51.7,0528,N | 1,10,N | 354,6.3
9/21/20,2000,12.5,55.8,0,0.01,30,88,59.3,70.7,1520,51.7,0528,N | 352,13,NNW | 334,6.6
9/21/20,1900,12.5,55.7,0,0.01,30,84,60.6,70.7,1520,51.7,0528,NNW | 342,17.8,NNW | 335,7.7
9/21/20,1800,12.5,55.8,0,0.01,29.99,75,64,70.7,1520,51.7,0528,NW | 320,18.3,NW | 304,10.3
9/21/20,1700,12.5,55.5,0,0.01,29.99,68,66.3,70.7,1520,51.7,0528,NW | 315,14.2,NW | 311,8.7
9/21/20,1600,12.5,55.6,0,0.01,29.99,62,69,70.7,1520,51.7,0528,NW | 308,11.7,NW | 312,6.3
9/21/20,1500,12.5,55.6,0,0.01,29.99,65,67.6,69.3,1300,51.7,0528,WNW | 283,12.4,WNW | 300,7.3
9/21/20,1400,12.5,55.6,0,0.01,29.99,66,67.4,69.3,1300,51.7,0528,W | 267,11.8,W | 270,7.4
9/21/20,1300,12.5,55.7,0,0.01,30,71,65.5,69.3,1300,51.7,0528,W | 269,11.5,W | 266,6.3
9/21/20,1200,12.5,59,0,0.01,30.01,93,61,64.5,1155,51.7,0528,W | 272,8.7,WNW | 284,4.9
9/21/20,1100,12.5,58.3,0,0.01,30,99,58.4,59.5,1053,51.7,0528,NW | 309,7.1,W | 281,3.1
9/21/20,1000,12.5,55.8,0,0.01,30,99,56,56.9,0959,51.7,0528,NW | 310,6.4,NW | 323,1.8
9/21/20,0900,12.5,54.8,0,0.01,29.99,100,54.9,55.4,0844,51.7,0528,SE | 129,3.1,S | 191,0.9
9/21/20,0800,12.5,53.4,0.01,0.01,29.98,99,53.6,55.1,0153,51.7,0528,E | 84,4.8,E | 81,2.8
9/21/20,0700,12.5,53.1,0,0,29.96,99,53.4,55.1,0153,51.7,0528,ENE | 61,4.5,E | 91,2.3
9/21/20,0600,12.5,52,0,0,29.95,99,52.3,55.1,0153,51.7,0528,NE | 55,3.7,NNE | 23,1.3
9/21/20,0500,12.6,52.5,0,0,29.93,98,52.9,55.1,0153,52,0447,NE | 50,7.1,ENE | 76,3.9
9/21/20,0400,12.6,54.2,0,0,29.93,98,54.7,55.1,0153,54.4,0357,N | 9,6.8,N | 10,4.2
9/21/20,0300,12.6,54.4,0,0,29.93,98,54.9,55.1,0153,54.6,0101,NNE | 12,5.5,NNE | 23,2.9
9/21/20,0200,12.6,54.2,0,0,29.93,98,54.8,55.1,0153,54.6,0101,NNE | 14,3.3,N | 10,1.6
9/21/20,0100,12.5,53.8,0,0,29.93,98,54.5,71.1,1141,53.6,0437,NNE | 27,3.6,NE | 45,2
9/21/20,0000,12.5,53.9,0,0,29.94,97,54.6,71.1,1141,53.6,0437,NNE | 15,4.3,N | 5,2.2
9/20/20,2300,12.5,54,0,0,29.94,97,54.8,71.1,1141,53.6,0437,N | 352,2.3,N | 354,0.4
9/20/20,2200,12.5,54.1,0,0,29.94,96,55.1,71.1,1141,53.6,0437,NW | 318,4.8,N | 1,1.1
9/20/20,2100,12.5,54.8,0,0,29.93,96,55.9,71.1,1141,53.6,0437,NNW | 342,7.6,NNW | 339,4.1
9/20/20,2000,12.5,54.6,0,0,29.92,92,57.1,71.1,1141,53.6,0437,NNW | 344,8.5,NNW | 346,5.1
